tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
COBRApy	input format	4	0	0	0	1.0	1.0	1.0	4	4	0	['json', 'matlab', 'sbml', 'yaml']	[]	[]	['json', 'matlab', 'sbml', 'yaml']	[]
COBRApy	output format	4	2	0	0	0.67	1.0	0.8	6	4	2	['json', 'matlab', 'sbml', 'yaml']	['python objects', 'text-based reports']	[]	['json', 'matlab', 'sbml', 'yaml']	['python objects', 'text-based reports']
SNF	topic	6	0	0	0	1.0	1.0	1.0	3	3	0	['clustering', 'disease subtyping', 'multi-omics data integration', 'network analysis', 'network integration', 'patient stratification']	[]	[]	['multi-omics data integration', 'network analysis', 'network integration']	[]
SNF	operation	5	2	2	0	0.71	0.71	0.71	5	3	2	['clustering', 'consensus network building', 'fused sample network creation', 'kernel-based integration', 'networks fusion']	['sample similarity matrices creation', 'sample similarity networks creation']	['similarity matrices creation', 'similarity networks creation']	['clustering', 'fused sample network creation', 'networks fusion']	['sample similarity matrices creation', 'sample similarity networks creation']
SNF	input data	3	1	0	0	0.75	1.0	0.86	3	2	1	['clinical data', 'multi-omics profiles', 'omics']	['prepared data']	[]	['clinical data', 'omics']	['prepared data']
SNF	output data	4	0	0	0	1.0	1.0	1.0	1	1	0	['fused networks', 'fused similarity matrix', 'patient clusters', 'similarity matrices']	[]	[]	['fused similarity matrix']	[]
SNF	input format	3	0	0	0	1.0	1.0	1.0	1	1	0	['csv', 'matrix', 'tsv']	[]	[]	['matrix']	[]
SNF	output format	4	0	0	0	1.0	1.0	1.0	1	1	0	['csv', 'graph files', 'matrix', 'tsv']	[]	[]	['matrix']	[]
eggNOG-mapper	topic	5	0	0	0	1.0	1.0	1.0	1	1	0	['functional annotation of proteins', 'functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	[]	[]	['functional annotation of proteins']	[]
eggNOG-mapper	operation	5	0	0	0	1.0	1.0	1.0	1	1	0	['annotation of genes and proteins using multiple functional databases', 'domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	[]	[]	['annotation of genes and proteins using multiple functional databases']	[]
eggNOG-mapper	input data	4	0	0	0	1.0	1.0	1.0	2	2	0	['gene sequences', 'metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	[]	['gene sequences', 'protein sequences']	[]
eggNOG-mapper	output data	4	0	0	0	1.0	1.0	1.0	1	1	0	['functional annotations', 'orthologous groups', 'table containing multiple annotations for each gene or protein', 'taxonomic assignments']	[]	[]	['table containing multiple annotations for each gene or protein']	[]
eggNOG-mapper	input format	2	0	0	0	1.0	1.0	1.0	1	1	0	['fasta', 'gzip']	[]	[]	['fasta']	[]
eggNOG-mapper	output format	2	0	0	0	1.0	1.0	1.0	1	1	0	['json', 'tsv']	[]	[]	['tsv']	[]
Cytoscape	topic	12	0	0	0	1.0	1.0	1.0	5	5	0	['co-occurrence networks', 'data integration', 'graph theory', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'network exploration', 'network handling', 'network visualisation', 'protein-protein interactions', 'systems biology', 'visualization']	[]	[]	['data integration', 'graph theory', 'network exploration', 'network handling', 'network visualisation']	[]
Cytoscape	operation	10	0	0	0	1.0	1.0	1.0	6	6	0	['app-based extensibility', 'automation via scripting', 'cluster detection', 'construction of networks', 'data integration', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration', 'network visualization']	[]	[]	['construction of networks', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration', 'network visualization']	[]
Cytoscape	input data	2	2	2	0	0.5	0.5	0.5	4	2	2	['list of nodes and edges', 'network']	['edge metadata', 'node metadata']	['edge attribute', 'node attribute']	['list of nodes and edges', 'network']	['edge metadata', 'node metadata']
Cytoscape	output data	3	1	1	0	0.75	0.75	0.75	4	3	1	['analysis report', 'metrics', 'network']	['pictures']	['images']	['analysis report', 'metrics', 'network']	['pictures']
Cytoscape	input format	9	1	0	0	0.9	1.0	0.95	8	7	1	['biopax', 'csv', 'gml', 'graphml', 'sbml', 'sif', 'tsv', 'xgmml', 'xls']	['txt']	[]	['biopax', 'gml', 'graphml', 'sbml', 'sif', 'tsv', 'xls']	['txt']
Cytoscape	output format	7	2	0	0	0.78	1.0	0.88	9	7	2	['cys', 'html', 'jpeg', 'pdf', 'png', 'sif', 'svg']	['text', 'txt']	[]	['cys', 'html', 'jpeg', 'pdf', 'png', 'sif', 'svg']	['text', 'txt']
CarveMe	topic	6	2	0	0	0.75	1.0	0.86	4	2	2	['community modeling', 'genome-scale metabolic modeling', 'metabolic networks', 'metabolic reconstruction', 'microbiology', 'systems biology']	['metabolic modeling', 'metabolic modelling']	[]	['metabolic networks', 'systems biology']	['metabolic modeling', 'metabolic modelling']
CarveMe	operation	4	1	1	0	0.8	0.8	0.8	2	1	1	['automated model reconstruction', 'draft model generation', 'gap-filling', 'reconstruction of metabolic networks']	['gap-filling of metabolic models.']	['gap-filling of metabolic models']	['reconstruction of metabolic networks']	['gap-filling of metabolic models.']
CarveMe	input data	4	0	0	0	1.0	1.0	1.0	2	2	0	['gene sequences', 'genome annotations', 'protein sequences', 'taxonomic information']	[]	[]	['gene sequences', 'protein sequences']	[]
CarveMe	output data	3	0	0	0	1.0	1.0	1.0	1	1	0	['genome-scale metabolic models', 'metabolic model', 'metabolic networks']	[]	[]	['metabolic model']	[]
CarveMe	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'sbml']	[]	[]	['fasta', 'sbml']	[]
CarveMe	output format	4	0	0	0	1.0	1.0	1.0	4	4	0	['json', 'matlab', 'sbml', 'yaml']	[]	[]	['json', 'matlab', 'sbml', 'yaml']	[]
RWR	topic	6	0	0	0	1.0	1.0	1.0	2	2	0	['disease gene prediction', 'functional module detection', 'network analysis', 'network exploration', 'network propagation', 'prioritization analysis']	[]	[]	['network analysis', 'network exploration']	[]
RWR	operation	1	0	0	0	1.0	1.0	1.0	1	1	0	['random walk with restart']	[]	[]	['random walk with restart']	[]
RWR	input data	4	1	2	0	0.8	0.67	0.73	1	0	1	['biological networks', 'edge weights', 'restart probability', 'seed nodes']	['network and seed']	['network', 'seed']	[]	['network and seed']
RWR	output data	6	0	0	0	1.0	1.0	1.0	2	2	0	['convergence scores', 'network and seed', 'node lists', 'propagation profiles', 'ranked node lists', 'subnetwork modules']	[]	[]	['network and seed', 'node lists']	[]
RWR	input format	4	0	0	0	1.0	1.0	1.0	2	2	0	['adjacency matrix', 'edge list', 'graphml', 'seed']	[]	[]	['edge list', 'seed']	[]
RWR	output format	7	0	0	0	1.0	1.0	1.0	2	2	0	['csv', 'edge lists', 'gml', 'seed', 'sif', 'tsv', 'visualization files']	[]	[]	['edge lists', 'seed']	[]
Fluxer	topic	5	0	0	0	1.0	1.0	1.0	2	2	0	['biochemistry education', 'metabolic flux analysis', 'metabolic modelling', 'pathway visualization', 'systems biology']	[]	[]	['metabolic modelling', 'systems biology']	[]
Fluxer	operation	7	0	0	0	1.0	1.0	1.0	3	3	0	['customizable layout creation', 'flux balance analysis (fba)', 'flux diagram rendering', 'interactive visualization', 'metabolic model simulation', 'metabolic model visualisation', 'pathway mapping']	[]	[]	['flux balance analysis (fba)', 'metabolic model simulation', 'metabolic model visualisation']	[]
Fluxer	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['metabolic model']	[]	[]	['metabolic model']	[]
Fluxer	output data	6	0	0	0	1.0	1.0	1.0	3	3	0	['annotated flux maps', 'biochemical pathway diagrams', 'metabolic model', 'networks', 'pictures', 'visualizations']	[]	[]	['metabolic model', 'networks', 'pictures']	[]
Fluxer	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['sbml']	[]	[]	['sbml']	[]
Fluxer	output format	5	0	0	0	1.0	1.0	1.0	4	4	0	['graphml', 'pdf', 'png', 'sbml', 'svg']	[]	[]	['graphml', 'png', 'sbml', 'svg']	[]
MULTIXRANK	topic	5	0	0	0	1.0	1.0	1.0	2	2	0	['multi-layer networks', 'network analysis', 'network biology', 'network exploration', 'node prioritization']	[]	[]	['network analysis', 'network exploration']	[]
MULTIXRANK	operation	4	0	0	0	1.0	1.0	1.0	2	2	0	['heterogeneous networks', 'network propagation', 'prioritization algorithm', 'random walk with restart']	[]	[]	['heterogeneous networks', 'random walk with restart']	[]
MULTIXRANK	input data	5	0	0	0	1.0	1.0	1.0	2	2	0	['edge weights', 'heterogeneous networks', 'multi-layer network graphs', 'network and seed', 'seed nodes']	[]	[]	['heterogeneous networks', 'network and seed']	[]
MULTIXRANK	output data	4	0	0	0	1.0	1.0	1.0	2	2	0	['network ranking', 'network result', 'ranked node lists', 'scores']	[]	[]	['network ranking', 'network result']	[]
MULTIXRANK	input format	7	0	0	0	1.0	1.0	1.0	3	3	0	['csv', 'gmt', 'json', 'sif', 'tsv', 'txt', 'yaml']	[]	[]	['tsv', 'txt', 'yaml']	[]
MULTIXRANK	output format	3	0	0	0	1.0	1.0	1.0	2	2	0	['csv', 'sif', 'tsv']	[]	[]	['sif', 'tsv']	[]
String.db	topic	3	0	0	0	1.0	1.0	1.0	2	2	0	['functional enrichment', 'protein-protein interaction networks', 'systems biology']	[]	[]	['protein-protein interaction networks', 'systems biology']	[]
String.db	operation	8	0	0	0	1.0	1.0	1.0	5	5	0	['clustering', 'confidence scoring', 'creation', 'data retrieval', 'enrichment analysis', 'exploration of interaction networks', 'network construction', 'visualization']	[]	[]	['clustering', 'creation', 'enrichment analysis', 'exploration of interaction networks', 'visualization']	[]
String.db	input data	6	0	0	0	1.0	1.0	1.0	3	3	0	['gene name', 'organism-specific queries', 'protein identifiers', 'protein name', 'protein sequences', 'sequences']	[]	[]	['gene name', 'protein name', 'sequences']	[]
String.db	output data	5	0	0	0	1.0	1.0	1.0	1	1	0	['confidence scores', 'enrichment results', 'functional annotations', 'interaction networks', 'networks']	[]	[]	['networks']	[]
String.db	input format	4	0	0	0	1.0	1.0	1.0	1	1	0	['api queries', 'csv', 'fasta', 'txt']	[]	[]	['txt']	[]
String.db	output format	7	0	0	0	1.0	1.0	1.0	4	4	0	['cys', 'cytoscape-compatible formats', 'json', 'png', 'svg', 'tsv', 'xml']	[]	[]	['cys', 'png', 'svg', 'tsv']	[]
GSEA	topic	6	0	0	0	1.0	1.0	1.0	1	1	0	['enrichment analysis', 'functional annotation', 'functional genomics', 'molecular signatures', 'pathway analysis', 'systems biology']	[]	[]	['functional annotation']	[]
GSEA	operation	8	0	0	0	1.0	1.0	1.0	2	2	0	['functional enrichment analysis', 'gene set enrichment analysis', 'gene set scoring', 'multi-omics integration', 'rank-based enrichment', 'single-sample variant', 'statistical permutation', 'visualization']	[]	[]	['functional enrichment analysis', 'gene set enrichment analysis']	[]
GSEA	input data	3	0	0	0	1.0	1.0	1.0	1	1	0	['gene expression matrix', 'gene sets', 'ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)']	[]	[]	['ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)']	[]
GSEA	output data	7	0	0	0	1.0	1.0	1.0	3	3	0	['annotation p values', 'enrichment scores', 'false discovery rates (fdr)', 'graph', 'normalized enrichment plots', 'pictures', 'ranked gene lists']	[]	[]	['annotation p values', 'graph', 'pictures']	[]
GSEA	input format	6	0	0	0	1.0	1.0	1.0	3	3	0	['cls', 'gct', 'gmt', 'gmx', 'gst', 'txt']	[]	[]	['gmt', 'gst', 'txt']	[]
GSEA	output format	9	0	0	0	1.0	1.0	1.0	4	4	0	['csv', 'excel files', 'fi', 'html reports', 'pdf', 'png jpeg', 'svg', 'tsv', 'txt']	[]	[]	['csv', 'fi', 'png jpeg', 'svg']	[]
