tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
GSEA	output format	5	0	4	0	1.0	0.56	0.72	['excel files', 'html reports', 'pdf', 'tsv', 'txt']	[]	['csv', 'fi', 'png jpeg', 'svg']	5	5	0	0	['excel files', 'html reports', 'pdf', 'tsv', 'txt']	[]	[]
String.db	topic	2	6	1	0	0.25	0.67	0.36	['functional enrichment', 'systems biology']	['comparative genomics', 'evolutionary inference', 'genomics', 'protein-protein interactions', 'proteomics', 'text mining']	['protein-protein interaction networks']	8	2	6	0	['functional enrichment', 'systems biology']	['comparative genomics', 'evolutionary inference', 'genomics', 'protein-protein interactions', 'proteomics', 'text mining']	[]
String.db	operation	3	5	5	0	0.38	0.38	0.38	['confidence scoring', 'data retrieval', 'network construction']	['cross-species propagation', 'functional enrichment analysis', 'genomic context prediction', 'orthology transfer', 'text mining']	['clustering', 'creation', 'enrichment analysis', 'exploration of interaction networks', 'visualization']	8	3	5	0	['confidence scoring', 'data retrieval', 'network construction']	['cross-species propagation', 'functional enrichment analysis', 'genomic context prediction', 'orthology transfer', 'text mining']	[]
String.db	input data	4	0	2	0	1.0	0.67	0.8	['gene name', 'organism-specific queries', 'protein identifiers', 'protein sequences']	[]	['protein name', 'sequences']	4	4	0	0	['gene name', 'organism-specific queries', 'protein identifiers', 'protein sequences']	[]	[]
String.db	output data	4	0	1	0	1.0	0.8	0.89	['confidence scores', 'enrichment results', 'functional annotations', 'interaction networks']	[]	['networks']	4	4	0	0	['confidence scores', 'enrichment results', 'functional annotations', 'interaction networks']	[]	[]
String.db	input format	4	0	0	0	1.0	1.0	1.0	['api queries', 'csv', 'fasta', 'txt']	[]	[]	4	4	0	0	['api queries', 'csv', 'fasta', 'txt']	[]	[]
String.db	output format	6	0	1	0	1.0	0.86	0.92	['cytoscape-compatible formats', 'json', 'png', 'svg', 'tsv', 'xml']	[]	['cys']	6	6	0	0	['cytoscape-compatible formats', 'json', 'png', 'svg', 'tsv', 'xml']	[]	[]
SNF	topic	3	2	3	0	0.6	0.5	0.55	['clustering', 'disease subtyping', 'patient stratification']	['multi-omics integration', 'precision medicine']	['multi-omics data integration', 'network analysis', 'network integration']	5	3	2	0	['clustering', 'disease subtyping', 'patient stratification']	['multi-omics integration', 'precision medicine']	[]
SNF	operation	4	3	3	0	0.57	0.57	0.57	['consensus network building', 'kernel-based integration', 'similarity matrices creation', 'similarity networks creation']	['affinity matrix construction', 'similarity network fusion', 'spectral clustering']	['clustering', 'fused sample network creation', 'networks fusion']	5	2	3	2	['consensus network building', 'kernel-based integration']	['affinity matrix construction', 'similarity network fusion', 'spectral clustering']	['similarity matrices creation', 'similarity networks creation']
SNF	input data	1	0	2	0	1.0	0.33	0.5	['multi-omics profiles']	[]	['clinical data', 'omics']	1	1	0	0	['multi-omics profiles']	[]	[]
SNF	output data	3	0	1	0	1.0	0.75	0.86	['fused networks', 'patient clusters', 'similarity matrices']	[]	['fused similarity matrix']	3	3	0	0	['fused networks', 'patient clusters', 'similarity matrices']	[]	[]
SNF	input format	3	0	0	0	1.0	1.0	1.0	['csv', 'matrix', 'tsv']	[]	[]	3	3	0	0	['csv', 'matrix', 'tsv']	[]	[]
SNF	output format	3	0	1	0	1.0	0.75	0.86	['csv', 'graph files', 'tsv']	[]	['matrix']	3	3	0	0	['csv', 'graph files', 'tsv']	[]	[]
COBRApy	topic	4	1	2	0	0.8	0.67	0.73	['constraint-based modeling', 'flux balance analysis', 'metabolic reconstruction', 'systems biology']	['metabolic engineering']	['metabolic modelling', 'metabolic networks']	5	4	1	0	['constraint-based modeling', 'flux balance analysis', 'metabolic reconstruction', 'systems biology']	['metabolic engineering']	[]
COBRApy	operation	6	0	1	0	1.0	0.86	0.92	['constraint-based simulations such as fba', 'flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	[]	['construction or modification of metabolic models']	5	5	0	1	['flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	[]	['constraint-based simulations such as fba']
COBRApy	input data	3	0	1	0	1.0	0.75	0.86	['constraints', 'metabolic model', 'objective functions']	[]	['metabolic network/model or nothing if created from scratch']	3	3	0	0	['constraints', 'metabolic model', 'objective functions']	[]	[]
COBRApy	output data	4	1	1	0	0.8	0.8	0.8	['flux distributions', 'metabolic model', 'metabolic network', 'optimization results']	['model annotations']	['results of simulations']	3	2	1	2	['flux distributions', 'optimization results']	['model annotations']	['metabolic model', 'metabolic network']
COBRApy	input format	3	0	1	0	1.0	0.75	0.86	['json', 'matlab', 'sbml']	[]	['yaml']	3	3	0	0	['json', 'matlab', 'sbml']	[]	[]
COBRApy	output format	1	3	3	0	0.25	0.25	0.25	['sbml']	['csv', 'python objects', 'tsv']	['json', 'matlab', 'yaml']	4	1	3	0	['sbml']	['csv', 'python objects', 'tsv']	[]
eggNOG-mapper	topic	4	1	1	0	0.8	0.8	0.8	['functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	['phylogenetics']	['functional annotation of proteins']	5	4	1	0	['functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	['phylogenetics']	[]
eggNOG-mapper	operation	4	1	1	0	0.8	0.8	0.8	['domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	['functional transfer']	['annotation of genes and proteins using multiple functional databases']	5	4	1	0	['domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	['functional transfer']	[]
eggNOG-mapper	input data	3	0	1	0	1.0	0.75	0.86	['metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	['gene sequences']	3	3	0	0	['metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	[]
eggNOG-mapper	output data	3	0	1	0	1.0	0.75	0.86	['functional annotations', 'orthologous groups', 'taxonomic assignments']	[]	['table containing multiple annotations for each gene or protein']	3	3	0	0	['functional annotations', 'orthologous groups', 'taxonomic assignments']	[]	[]
eggNOG-mapper	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'gzip']	[]	[]	2	2	0	0	['fasta', 'gzip']	[]	[]
eggNOG-mapper	output format	2	1	0	0	0.67	1.0	0.8	['json', 'tsv']	['html']	[]	3	2	1	0	['json', 'tsv']	['html']	[]
RWR	topic	4	2	2	0	0.67	0.67	0.67	['disease gene prediction', 'functional module detection', 'network propagation', 'prioritization analysis']	['omics integration', 'systems medicine']	['network analysis', 'network exploration']	6	4	2	0	['disease gene prediction', 'functional module detection', 'network propagation', 'prioritization analysis']	['omics integration', 'systems medicine']	[]
RWR	operation	0	6	1	0	0.0	0.0	0.0	[]	['convergence calculation', 'custom restart parameter tuning', 'graph traversal', 'probability diffusion', 'seed-based prioritization', 'topological analysis']	['random walk with restart']	6	0	6	0	[]	['convergence calculation', 'custom restart parameter tuning', 'graph traversal', 'probability diffusion', 'seed-based prioritization', 'topological analysis']	[]
RWR	input data	6	0	0	0	1.0	1.0	1.0	['biological networks', 'edge weights', 'network', 'restart probability', 'seed', 'seed nodes']	[]	[]	4	4	0	2	['biological networks', 'edge weights', 'restart probability', 'seed nodes']	[]	['network', 'seed']
RWR	output data	4	0	2	0	1.0	0.67	0.8	['convergence scores', 'propagation profiles', 'ranked node lists', 'subnetwork modules']	[]	['network and seed', 'node lists']	4	4	0	0	['convergence scores', 'propagation profiles', 'ranked node lists', 'subnetwork modules']	[]	[]
RWR	input format	3	0	1	0	1.0	0.75	0.86	['adjacency matrix', 'edge list', 'graphml']	[]	['seed']	3	3	0	0	['adjacency matrix', 'edge list', 'graphml']	[]	[]
RWR	output format	5	0	2	0	1.0	0.71	0.83	['csv', 'gml', 'sif', 'tsv', 'visualization files']	[]	['edge lists', 'seed']	5	5	0	0	['csv', 'gml', 'sif', 'tsv', 'visualization files']	[]	[]
Fluxer	topic	3	2	2	0	0.6	0.6	0.6	['biochemistry education', 'metabolic flux analysis', 'pathway visualization']	['enzyme kinetics', 'reaction networks']	['metabolic modelling', 'systems biology']	5	3	2	0	['biochemistry education', 'metabolic flux analysis', 'pathway visualization']	['enzyme kinetics', 'reaction networks']	[]
Fluxer	operation	4	1	3	0	0.8	0.57	0.67	['customizable layout creation', 'flux diagram rendering', 'interactive visualization', 'pathway mapping']	['metabolic context overlay']	['flux balance analysis (fba)', 'metabolic model simulation', 'metabolic model visualisation']	5	4	1	0	['customizable layout creation', 'flux diagram rendering', 'interactive visualization', 'pathway mapping']	['metabolic context overlay']	[]
Fluxer	input data	0	3	1	0	0.0	0.0	0.0	[]	['flux values', 'metabolic pathways', 'reaction lists']	['metabolic model']	3	0	3	0	[]	['flux values', 'metabolic pathways', 'reaction lists']	[]
Fluxer	output data	3	0	3	0	1.0	0.5	0.67	['annotated flux maps', 'biochemical pathway diagrams', 'visualizations']	[]	['metabolic model', 'networks', 'pictures']	3	3	0	0	['annotated flux maps', 'biochemical pathway diagrams', 'visualizations']	[]	[]
Fluxer	input format	1	2	0	0	0.33	1.0	0.5	['sbml']	['csv', 'tsv']	[]	3	1	2	0	['sbml']	['csv', 'tsv']	[]
Fluxer	output format	3	0	2	0	1.0	0.6	0.75	['pdf', 'png', 'svg']	[]	['graphml', 'sbml']	3	3	0	0	['pdf', 'png', 'svg']	[]	[]
MOFA2	topic	2	3	2	0	0.4	0.5	0.44	['dimensionality reduction', 'factor analysis']	['multi-omics integration', 'personalized medicine', 'single-cell omics']	['joint dimension reduction', 'multi-omics data integration']	5	2	3	0	['dimensionality reduction', 'factor analysis']	['multi-omics integration', 'personalized medicine', 'single-cell omics']	[]
MOFA2	operation	0	6	6	0	0.0	0.0	0.0	[]	['dimensionality reduction', 'factor analysis', 'latent variable modeling', 'missing data handling', 'sparse learning', 'variational inference']	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	6	0	6	0	[]	['dimensionality reduction', 'factor analysis', 'latent variable modeling', 'missing data handling', 'sparse learning', 'variational inference']	[]
MOFA2	input data	0	1	2	0	0.0	0.0	0.0	[]	['multi-omics data']	['omics matrices', 'paired omics data']	1	0	1	0	[]	['multi-omics data']	[]
MOFA2	output data	1	3	1	0	0.25	0.5	0.33	['feature loadings']	['imputed data', 'latent factors', 'outlier detection']	['factors and latent spaces']	4	1	3	0	['feature loadings']	['imputed data', 'latent factors', 'outlier detection']	[]
MOFA2	input format	0	4	2	0	0.0	0.0	0.0	[]	['anndata', 'csv', 'hdf5', 'tsv']	['matrices', 'r vectors']	4	0	4	0	[]	['anndata', 'csv', 'hdf5', 'tsv']	[]
MOFA2	output format	1	4	2	0	0.2	0.33	0.25	['hdf5']	['csv', 'html', 'pdf', 'tsv']	['matrices', 'mofa object']	5	1	4	0	['hdf5']	['csv', 'html', 'pdf', 'tsv']	[]
CarveMe	topic	4	1	2	0	0.8	0.67	0.73	['community modeling', 'genome-scale metabolic modeling', 'metabolic reconstruction', 'microbiology']	['bioinformatics']	['metabolic networks', 'systems biology']	5	4	1	0	['community modeling', 'genome-scale metabolic modeling', 'metabolic reconstruction', 'microbiology']	['bioinformatics']	[]
CarveMe	operation	4	2	1	0	0.67	0.8	0.73	['automated model reconstruction', 'draft model generation', 'gap-filling', 'gap-filling of metabolic models']	['curation of reaction networks', 'integration of annotation data']	['reconstruction of metabolic networks']	5	3	2	1	['automated model reconstruction', 'draft model generation', 'gap-filling']	['curation of reaction networks', 'integration of annotation data']	['gap-filling of metabolic models']
CarveMe	input data	3	1	1	0	0.75	0.75	0.75	['genome annotations', 'protein sequences', 'taxonomic information']	['reaction databases']	['gene sequences']	4	3	1	0	['genome annotations', 'protein sequences', 'taxonomic information']	['reaction databases']	[]
CarveMe	output data	2	1	1	0	0.67	0.67	0.67	['genome-scale metabolic models', 'metabolic networks']	['reaction lists']	['metabolic model']	3	2	1	0	['genome-scale metabolic models', 'metabolic networks']	['reaction lists']	[]
CarveMe	input format	1	2	1	0	0.33	0.5	0.4	['fasta']	['json', 'xml']	['sbml']	3	1	2	0	['fasta']	['json', 'xml']	[]
CarveMe	output format	2	0	2	0	1.0	0.5	0.67	['json', 'sbml']	[]	['matlab', 'yaml']	2	2	0	0	['json', 'sbml']	[]	[]
