tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
MULTIXRANK	output format	3	0	0	0	1.0	1.0	1.0	['csv', 'sif', 'tsv']	[]	[]	2	2	0	['sif', 'tsv']	[]
GSEA	topic	6	0	0	0	1.0	1.0	1.0	['enrichment analysis', 'functional annotation', 'functional genomics', 'molecular signatures', 'pathway analysis', 'systems biology']	[]	[]	1	1	0	['functional annotation']	[]
GSEA	operation	8	0	0	0	1.0	1.0	1.0	['functional enrichment analysis', 'gene set enrichment analysis', 'gene set scoring', 'multi-omics integration', 'rank-based enrichment', 'single-sample variant', 'statistical permutation', 'visualization']	[]	[]	2	2	0	['functional enrichment analysis', 'gene set enrichment analysis']	[]
GSEA	input data	3	0	0	0	1.0	1.0	1.0	['gene expression matrix', 'gene sets', 'ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)']	[]	[]	1	1	0	['ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)']	[]
GSEA	output data	7	0	0	0	1.0	1.0	1.0	['annotation p values', 'enrichment scores', 'false discovery rates (fdr)', 'graph', 'normalized enrichment plots', 'pictures', 'ranked gene lists']	[]	[]	3	3	0	['annotation p values', 'graph', 'pictures']	[]
GSEA	input format	6	0	0	0	1.0	1.0	1.0	['cls', 'gct', 'gmt', 'gmx', 'gst', 'txt']	[]	[]	3	3	0	['gmt', 'gst', 'txt']	[]
GSEA	output format	9	0	0	0	1.0	1.0	1.0	['csv', 'excel files', 'fi', 'html reports', 'pdf', 'png jpeg', 'svg', 'tsv', 'txt']	[]	[]	4	4	0	['csv', 'fi', 'png jpeg', 'svg']	[]
String.db	topic	3	0	0	0	1.0	1.0	1.0	['functional enrichment', 'protein-protein interaction networks', 'systems biology']	[]	[]	2	2	0	['protein-protein interaction networks', 'systems biology']	[]
String.db	operation	8	0	0	0	1.0	1.0	1.0	['clustering', 'confidence scoring', 'creation', 'data retrieval', 'enrichment analysis', 'exploration of interaction networks', 'network construction', 'visualization']	[]	[]	5	5	0	['clustering', 'creation', 'enrichment analysis', 'exploration of interaction networks', 'visualization']	[]
String.db	input data	6	0	0	0	1.0	1.0	1.0	['gene name', 'organism-specific queries', 'protein identifiers', 'protein name', 'protein sequences', 'sequences']	[]	[]	3	3	0	['gene name', 'protein name', 'sequences']	[]
String.db	output data	5	0	0	0	1.0	1.0	1.0	['confidence scores', 'enrichment results', 'functional annotations', 'interaction networks', 'networks']	[]	[]	1	1	0	['networks']	[]
String.db	input format	4	0	0	0	1.0	1.0	1.0	['api queries', 'csv', 'fasta', 'txt']	[]	[]	1	1	0	['txt']	[]
String.db	output format	7	0	0	0	1.0	1.0	1.0	['cys', 'cytoscape-compatible formats', 'json', 'png', 'svg', 'tsv', 'xml']	[]	[]	4	4	0	['cys', 'png', 'svg', 'tsv']	[]
SNF	topic	6	0	0	0	1.0	1.0	1.0	['clustering', 'disease subtyping', 'multi-omics data integration', 'network analysis', 'network integration', 'patient stratification']	[]	[]	3	3	0	['multi-omics data integration', 'network analysis', 'network integration']	[]
SNF	operation	5	2	2	0	0.71	0.71	0.71	['clustering', 'consensus network building', 'fused sample network creation', 'kernel-based integration', 'networks fusion']	['sample similarity matrices creation', 'sample similarity networks creation']	['similarity matrices creation', 'similarity networks creation']	5	3	2	['clustering', 'fused sample network creation', 'networks fusion']	['sample similarity matrices creation', 'sample similarity networks creation']
SNF	input data	3	1	0	0	0.75	1.0	0.86	['clinical data', 'multi-omics profiles', 'omics']	['prepared data']	[]	3	2	1	['clinical data', 'omics']	['prepared data']
SNF	output data	4	0	0	0	1.0	1.0	1.0	['fused networks', 'fused similarity matrix', 'patient clusters', 'similarity matrices']	[]	[]	1	1	0	['fused similarity matrix']	[]
SNF	input format	3	0	0	0	1.0	1.0	1.0	['csv', 'matrix', 'tsv']	[]	[]	1	1	0	['matrix']	[]
SNF	output format	4	0	0	0	1.0	1.0	1.0	['csv', 'graph files', 'matrix', 'tsv']	[]	[]	1	1	0	['matrix']	[]
COBRApy	topic	6	0	0	0	1.0	1.0	1.0	['constraint-based modeling', 'flux balance analysis', 'metabolic modelling', 'metabolic networks', 'metabolic reconstruction', 'systems biology']	[]	[]	3	3	0	['metabolic modelling', 'metabolic networks', 'systems biology']	[]
COBRApy	operation	6	1	1	0	0.86	0.86	0.86	['construction or modification of metabolic models', 'flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	['constraint-based simulations such as fba.']	['constraint-based simulations such as fba']	2	1	1	['construction or modification of metabolic models']	['constraint-based simulations such as fba.']
COBRApy	input data	4	0	0	0	1.0	1.0	1.0	['constraints', 'metabolic model', 'metabolic network/model or nothing if created from scratch', 'objective functions']	[]	[]	1	1	0	['metabolic network/model or nothing if created from scratch']	[]
COBRApy	output data	3	1	2	0	0.75	0.6	0.67	['flux distributions', 'optimization results', 'results of simulations']	['metabolic network/model']	['metabolic model', 'metabolic network']	2	1	1	['results of simulations']	['metabolic network/model']
COBRApy	input format	4	0	0	0	1.0	1.0	1.0	['json', 'matlab', 'sbml', 'yaml']	[]	[]	4	4	0	['json', 'matlab', 'sbml', 'yaml']	[]
COBRApy	output format	4	2	0	0	0.67	1.0	0.8	['json', 'matlab', 'sbml', 'yaml']	['python objects', 'text-based reports']	[]	6	4	2	['json', 'matlab', 'sbml', 'yaml']	['python objects', 'text-based reports']
eggNOG-mapper	topic	5	0	0	0	1.0	1.0	1.0	['functional annotation of proteins', 'functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	[]	[]	1	1	0	['functional annotation of proteins']	[]
eggNOG-mapper	operation	5	0	0	0	1.0	1.0	1.0	['annotation of genes and proteins using multiple functional databases', 'domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	[]	[]	1	1	0	['annotation of genes and proteins using multiple functional databases']	[]
eggNOG-mapper	input data	4	0	0	0	1.0	1.0	1.0	['gene sequences', 'metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	[]	2	2	0	['gene sequences', 'protein sequences']	[]
eggNOG-mapper	output data	4	0	0	0	1.0	1.0	1.0	['functional annotations', 'orthologous groups', 'table containing multiple annotations for each gene or protein', 'taxonomic assignments']	[]	[]	1	1	0	['table containing multiple annotations for each gene or protein']	[]
eggNOG-mapper	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'gzip']	[]	[]	1	1	0	['fasta']	[]
eggNOG-mapper	output format	2	0	0	0	1.0	1.0	1.0	['json', 'tsv']	[]	[]	1	1	0	['tsv']	[]
RWR	topic	6	0	0	0	1.0	1.0	1.0	['disease gene prediction', 'functional module detection', 'network analysis', 'network exploration', 'network propagation', 'prioritization analysis']	[]	[]	2	2	0	['network analysis', 'network exploration']	[]
RWR	operation	1	0	0	0	1.0	1.0	1.0	['random walk with restart']	[]	[]	1	1	0	['random walk with restart']	[]
RWR	input data	4	1	2	0	0.8	0.67	0.73	['biological networks', 'edge weights', 'restart probability', 'seed nodes']	['network and seed']	['network', 'seed']	1	0	1	[]	['network and seed']
RWR	output data	6	0	0	0	1.0	1.0	1.0	['convergence scores', 'network and seed', 'node lists', 'propagation profiles', 'ranked node lists', 'subnetwork modules']	[]	[]	2	2	0	['network and seed', 'node lists']	[]
RWR	input format	4	0	0	0	1.0	1.0	1.0	['adjacency matrix', 'edge list', 'graphml', 'seed']	[]	[]	2	2	0	['edge list', 'seed']	[]
RWR	output format	7	0	0	0	1.0	1.0	1.0	['csv', 'edge lists', 'gml', 'seed', 'sif', 'tsv', 'visualization files']	[]	[]	2	2	0	['edge lists', 'seed']	[]
Fluxer	topic	5	0	0	0	1.0	1.0	1.0	['biochemistry education', 'metabolic flux analysis', 'metabolic modelling', 'pathway visualization', 'systems biology']	[]	[]	2	2	0	['metabolic modelling', 'systems biology']	[]
Fluxer	operation	7	0	0	0	1.0	1.0	1.0	['customizable layout creation', 'flux balance analysis (fba)', 'flux diagram rendering', 'interactive visualization', 'metabolic model simulation', 'metabolic model visualisation', 'pathway mapping']	[]	[]	3	3	0	['flux balance analysis (fba)', 'metabolic model simulation', 'metabolic model visualisation']	[]
Fluxer	input data	1	0	0	0	1.0	1.0	1.0	['metabolic model']	[]	[]	1	1	0	['metabolic model']	[]
Fluxer	output data	6	0	0	0	1.0	1.0	1.0	['annotated flux maps', 'biochemical pathway diagrams', 'metabolic model', 'networks', 'pictures', 'visualizations']	[]	[]	3	3	0	['metabolic model', 'networks', 'pictures']	[]
Fluxer	input format	1	0	0	0	1.0	1.0	1.0	['sbml']	[]	[]	1	1	0	['sbml']	[]
Fluxer	output format	5	0	0	0	1.0	1.0	1.0	['graphml', 'pdf', 'png', 'sbml', 'svg']	[]	[]	4	4	0	['graphml', 'png', 'sbml', 'svg']	[]
MOFA2	topic	4	0	0	0	1.0	1.0	1.0	['dimensionality reduction', 'factor analysis', 'joint dimension reduction', 'multi-omics data integration']	[]	[]	2	2	0	['joint dimension reduction', 'multi-omics data integration']	[]
MOFA2	operation	6	0	0	0	1.0	1.0	1.0	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	[]	[]	6	6	0	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	[]
MOFA2	input data	2	0	0	0	1.0	1.0	1.0	['omics matrices', 'paired omics data']	[]	[]	2	2	0	['omics matrices', 'paired omics data']	[]
MOFA2	output data	2	0	0	0	1.0	1.0	1.0	['factors and latent spaces', 'feature loadings']	[]	[]	1	1	0	['factors and latent spaces']	[]
MOFA2	input format	2	0	0	0	1.0	1.0	1.0	['matrices', 'r vectors']	[]	[]	2	2	0	['matrices', 'r vectors']	[]
MOFA2	output format	3	0	0	0	1.0	1.0	1.0	['hdf5', 'matrices', 'mofa object']	[]	[]	3	3	0	['hdf5', 'matrices', 'mofa object']	[]
CarveMe	topic	6	2	0	0	0.75	1.0	0.86	['community modeling', 'genome-scale metabolic modeling', 'metabolic networks', 'metabolic reconstruction', 'microbiology', 'systems biology']	['metabolic modeling', 'metabolic modelling']	[]	4	2	2	['metabolic networks', 'systems biology']	['metabolic modeling', 'metabolic modelling']
CarveMe	operation	4	1	1	0	0.8	0.8	0.8	['automated model reconstruction', 'draft model generation', 'gap-filling', 'reconstruction of metabolic networks']	['gap-filling of metabolic models.']	['gap-filling of metabolic models']	2	1	1	['reconstruction of metabolic networks']	['gap-filling of metabolic models.']
CarveMe	input data	4	0	0	0	1.0	1.0	1.0	['gene sequences', 'genome annotations', 'protein sequences', 'taxonomic information']	[]	[]	2	2	0	['gene sequences', 'protein sequences']	[]
CarveMe	output data	3	0	0	0	1.0	1.0	1.0	['genome-scale metabolic models', 'metabolic model', 'metabolic networks']	[]	[]	1	1	0	['metabolic model']	[]
CarveMe	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'sbml']	[]	[]	2	2	0	['fasta', 'sbml']	[]
CarveMe	output format	4	0	0	0	1.0	1.0	1.0	['json', 'matlab', 'sbml', 'yaml']	[]	[]	4	4	0	['json', 'matlab', 'sbml', 'yaml']	[]
