tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	Commentaire expert 2	hasExactmatch	hasBroader	hasNarrower	EDAM term URI	Comment	domain	edam_category	Commentaire expert 3
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
AFNI, FSL, Freesurfer, SPM	anatomical mri	MRI image	Yes			No	Yes	No	http://edamontology.org/data_3442		Neuroimaging	data	
Freesurfer	cortical parcellations	MRI image	No	Cortical Parcellation, Segmentation, 		No	Yes	No	http://edamontology.org/data_3442		Neuroimaging	data	
FSL, Freesurfer	diffusion mri	MRI image	No	Diffusion Tensor Imaging, DTI		No	Yes	No	http://edamontology.org/data_3442		Neuroimaging	data	
SPM	eeg	no_matching_term		EEG, Electroencephalography,  Medical Imaging		No	Yes	No		no matching data	Neuroimaging	data	
AFNI, FMRIprep, FSL, Freesurfer, SPM	fmri	MRI image	Yes	functional MRI, Functional magnetic resonance imaging		No	Yes	No	http://edamontology.org/data_3442		Neuroimaging	data	
SPM	meg	no_matching_term		MEG, MagnetoEncephaloGraphy 		No	Yes	No		no matching data	Neuroimaging	data	
AFNI	parametric modulation maps	Statistical estimate score	Yes	Statistical estimations		No	Yes	No	http://edamontology.org/data_0951		Neuroimaging	data	
Freesurfer, SPM	pet	no_matching_term		PET, Positron emission tomography		No	No	No		no matching data	Neuroimaging	data	
FSL, SPM	preprocessed data	Data	Yes			No	Yes	No	http://edamontology.org/data_0006		Neuroimaging	data	
FMRIprep	preprocessed fmri	Data	Yes			No	Yes	No	http://edamontology.org/data_0006		Neuroimaging	data	
FMRIprep, FSL	reports	Report	Yes			Yes	No	No	http://edamontology.org/data_2048		Neuroimaging	data	
SPM	results reports	Report	Yes			No	Yes	No	http://edamontology.org/data_2048		Neuroimaging	data	
SPM	spect	no_matching_term	No	SPECT, Single-photon Emission Computed Tomography		No	No	No		no matching data	Neuroimaging	data	
FSL	statistical maps	Statistical estimate score	Yes	Statistical estimation		No	Yes	No	http://edamontology.org/data_0951		Neuroimaging	data	
SPM	statistical parametric maps	Statistical estimate score	Yes	Statistical estimation		No	Yes	No	http://edamontology.org/data_0951		Neuroimaging	data	
Freesurfer	surface maps	Statistical estimate score	Yes	Segmentation		No	Yes	No	http://edamontology.org/data_0951		Neuroimaging	data	
Freesurfer	volumetric segmentation	Volume map	Yes			No	Yes	No	http://edamontology.org/data_0940		Neuroimaging	data	
Freesurfer	annot	Image format	Yes			No	No	No	http://edamontology.org/format_3547		Neuroimaging	formats	
Freesurfer	bfloat	Binary format	Yes			No	Yes	No	http://edamontology.org/format_2333		Neuroimaging	formats	
FMRIprep	bids	no_matching_term		BIDS, Folder organisation		No	No	No		no matching format	Neuroimaging	formats	
AFNI	brik/head	no_matching_term		BRIK/HEAD		No	No	No		no matching format	Neuroimaging	formats	
Freesurfer	bshort	Image format	Yes			No	No	No	http://edamontology.org/format_3547		Neuroimaging	formats	
Freesurfer	cor	Image format	Yes			No	No	No	http://edamontology.org/format_3548		Neuroimaging	formats	
Freesurfer	curv	Image format	Yes			No	No	No	http://edamontology.org/format_3549		Neuroimaging	formats	
Freesurfer	dat	dat	Yes			Yes	No	No	http://edamontology.org/format_1637		Neuroimaging	formats	
Freesurfer, SPM	dicom	DICOM format	Yes			Yes	No	No	http://edamontology.org/format_3548		Neuroimaging	formats	
Freesurfer	gca	Image format	Yes			No	No	No	http://edamontology.org/format_3547		Neuroimaging	formats	
Freesurfer	gcs	Image format	Yes			No	No	No	http://edamontology.org/format_3548		Neuroimaging	formats	
FMRIprep, FSL	html	HTML	Yes			Yes	Yes	No	http://edamontology.org/format_2331		Neuroimaging	formats	
SPM	jpeg	jpeg	Yes			Yes	No	No	http://edamontology.org/format_3579		Neuroimaging	formats	
Freesurfer	m3d	Image format	Yes			No	No	No	http://edamontology.org/format_3547		Neuroimaging	formats	
SPM	mat	MAT	Yes			Yes	No	No	http://edamontology.org/format_3626		Neuroimaging	formats	
Freesurfer	mgh	Image format	Yes			No	No	No	http://edamontology.org/format_3547		Neuroimaging	formats	
Freesurfer	mgz	Image format	Yes			No	No	No	http://edamontology.org/format_3548		Neuroimaging	formats	
AFNI, FMRIprep, FSL, Freesurfer, SPM	nifti	Image format	Yes			No	No	No	http://edamontology.org/format_3549		Neuroimaging	formats	
FSL	nifti.gz	Image format	Yes			No	No	No	http://edamontology.org/format_3550		Neuroimaging	formats	
Freesurfer	patch	Image format	Yes			No	No	No	http://edamontology.org/format_3551		Neuroimaging	formats	
SPM	pdf	PDF	Yes			Yes	No	No	http://edamontology.org/format_3508		Neuroimaging	formats	
SPM	ps	PS	Yes			Yes	Yes	No	http://edamontology.org/format_3696		Neuroimaging	formats	
Freesurfer	surface	no_matching_term		surface		No	No	No		no matching format	Neuroimaging	formats	
FMRIprep	tsv	TSV	Yes			Yes	No	No	http://edamontology.org/format_3475		Neuroimaging	formats	
Freesurfer	xfm	xbm	Yes			No	No	No	http://edamontology.org/format_3598	not sure	Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
											Neuroimaging	formats	
						No	No	No			Neuroimaging	formats	
						No	No	No			Neuroimaging	formats	
						No	No	No			Neuroimaging	formats	
						No	No	No			Neuroimaging	formats	
						No	No	No			Neuroimaging	formats	
FSL	functional connectivity analysis	Network analysis	Yes			No	Yes	No	http://edamontology.org/operation_3927		Neuroimaging	operations	
AFNI, FSL, SPM	group statistical analysis	Statistical calculation	Yes			No	No	No	http://edamontology.org/operation_2238		Neuroimaging	operations	
Freesurfer	morphometry analysis	Image analysis	Yes			No	Yes	No	http://edamontology.org/operation_3443		Neuroimaging	operations	
AFNI, FMRIprep, FSL, SPM	preprocessing	Standardisation and normalisation	No	Preprocessing		No	Yes	No	http://edamontology.org/operation_3435		Neuroimaging	operations	
AFNI, FSL, SPM	subject statistical analysis	Statistical calculation	Yes			No	Yes	No	http://edamontology.org/operation_2238		Neuroimaging	operations	
Freesurfer	surface modelling	Structure visualisation	No	Surface reconstruction		No	Yes	No	http://edamontology.org/operation_0570		Neuroimaging	operations	
FSL, Freesurfer	tractography	Medical imaging	Yes			No	Yes	No	http://edamontology.org/topic_3384	topic not an operation	Neuroimaging	operations	
AFNI, FMRIprep, FSL, SPM	visualization	Visualisation	Yes			Yes	No	No	http://edamontology.org/operation_0337		Neuroimaging	operations	
AFNI	voxel-wise regression analysis	Regression analysis	Yes			No	Yes	No	http://edamontology.org/operation_3659		Neuroimaging	operations	
Freesurfer	whole-brain analysis	Neurobiology	Yes	Whole brain segmentation		No	Yes	No	http://edamontology.org/topic_3304	topic not an operation	Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
											Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
						No	No	No			Neuroimaging	operations	
AFNI, FSL, SPM	functional & anatomical MRI preprocesing	MRI	Yes	MRI preprocessing	MRI	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
FMRIprep	bids apps	Medical imaging	Yes	fMRI preprocessing	MRI	No	Yes	No	http://edamontology.org/topic_3384		Neuroimaging	topics	
AFNI, FMRIprep, FSL, Freesurfer, SPM	brain imaging	Medical imaging	Yes		Medical Imaging	No	Yes	No	http://edamontology.org/topic_3384		Neuroimaging	topics	
FSL, Freesurfer	diffusion mri tractography	MRI	No	diffusion ternsor imaging, fiber tractography	MRI	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
SPM	eeg analysis	Medical Imaging	Yes	Medical Imaging, EEG signal processing	Physiology	No	Yes	No	http://edamontology.org/topic_3384		Neuroimaging	topics	
AFNI, FSL, SPM	fmri analysis	MRI	No	fMRI analysis	MRI	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
FMRIprep	fmri preprocessing	MRI	No	fMRI preprocessing	MRI	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
Freesurfer	fmri surface analysis	MRI	Yes		Medical Imaging	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
SPM	meg analysis	MRI	No	MEG analysis	Medical Imaging ? 	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
AFNI, FMRIprep, FSL, Freesurfer, SPM	neuroimaging	Medical imaging	Yes		Medical Imaging	No	Yes	No	http://edamontology.org/topic_3384		Neuroimaging	topics	
FastME	distance matrix	Distance matrix	Yes	Output	Output	Yes	No	No	http://edamontology.org/data_2855		Phylogeny	data	
PhyML	multiple sequence alignment	Sequence alignment	Yes	Input? Output?	input (masis pas output à ma connaissance)	No	Yes	No	http://edamontology.org/data_0863		Phylogeny	data	
FastME	multiple sequences alignment msa	Sequence alignment	Yes	Input	Input	No	Yes	No	http://edamontology.org/data_0863		Phylogeny	data	
MAFFT	multiple-sequence alignment file	Sequence alignment	Yes	Output	Output	No	Yes	No	http://edamontology.org/data_0863		Phylogeny	data	
MAFFT	multiple-sequence file	Nucleic acid sequence alignment	Yes	Je ne suis pas convaincu... Il y a une histoire de metadata dans le term EDAM, alors que pas besoin pour MAFFT	peut etre plus : http://edamontology.org/data_1383 Nucleic acid sequence alignment et du coup aussi : http://edamontology.org/data_1384  Protein sequence alignment	No	Yes	No	http://edamontology.org/data_1383		Phylogeny	data	
MAFFT	multiple-sequence file	Protein sequence alignment	Yes	Je ne suis pas convaincu... Il y a une histoire de metadata dans le term EDAM, alors que pas besoin pour MAFFT	peut etre plus : http://edamontology.org/data_1383 Nucleic acid sequence alignment et du coup aussi : http://edamontology.org/data_1384  Protein sequence alignment	No	Yes	No	http://edamontology.org/data_1384		Phylogeny	data	
FastME	phylogenetic trees with support values	Phylogenetic tree	Yes	Output	Output	No	Yes	No	http://edamontology.org/data_0872		Phylogeny	data	
PhyML	phylogeny trees with support values	Phylogenetic tree	Yes	Output	Output	No	Yes	No	http://edamontology.org/data_0872		Phylogeny	data	
PhyML	sequence evolution model	DNA substitution model	Yes	Non, ce n'est pas pareil, ce serait plutôt substitution model	D'accord avec frederic http://edamontology.org/data_1439	No	Yes	No	http://edamontology.org/data_1439		Phylogeny	data	
FastME	substitution model	Substitution model	Yes		Input	Yes	No	No	http://edamontology.org/data_1439		Phylogeny	data	
MAFFT	.tree	Phylogenetic tree format	Yes	Mafft ne gère pas des arbres phylogenetiques	Mafft peut générer l' arbre guidé en format  .tree , j'aurais donc dis OUI 	No	Yes	No	http://edamontology.org/format_2006		Phylogeny	formats	
MAFFT	clustal	clustal	Yes	Pas sûr ici	les formats de sortie sont Pearson/fatsa et clustalw , donc oui	Yes	No	No	http://edamontology.org/format_1424		Phylogeny	formats	
