tools	EDAM term URI	candidate EDAM term label	annotation	domain	edam_category
CarveMe	http://edamontology.org/data_0950	Mathematical model	genome-scale metabolic models	Systems_biology	data
CarveMe	http://edamontology.org/format_4007	MATLAB	matlab	Systems_biology	formats
CarveMe	http://edamontology.org/data_0950	Mathematical model	metabolic model	Systems_biology	data
CarveMe	http://edamontology.org/data_2600	Pathway or network	metabolic networks	Systems_biology	data
CarveMe	http://edamontology.org/topic_0602	Biological networks	metabolic networks	Systems_biology	topics
CarveMe	http://edamontology.org/operation_3660	Metabolic network reconstruction	metabolic reconstruction	Systems_biology	topics
CarveMe	http://edamontology.org/topic_3301	Microbiology	microbiology	Systems_biology	topics
CarveMe	http://edamontology.org/data_2976	Protein sequence	protein sequences	Systems_biology	data
CarveMe	http://edamontology.org/operation_3660	Metabolic network modelling	reconstruction of metabolic networks	Systems_biology	operations
CarveMe	http://edamontology.org/format_2585	SBML	sbml	Systems_biology	formats
CarveMe	http://edamontology.org/topic_2259	Systems biology	systems biology	Systems_biology	topics
CellPose	http://edamontology.org/operation_0226	Annotation	annotation	Microscopy	operations
CellPose	http://edamontology.org/topic_2229	Cell biology	cell segmentation	Microscopy	topics
CellPose	http://edamontology.org/format_2330	Textual format	imagej rois	Microscopy	formats
CellPose	http://edamontology.org/format_3579	JPEG	jpegs	Microscopy	formats
CellPose	http://edamontology.org/data_2968	Image	microscopy images 2d	Microscopy	data
CellPose	http://edamontology.org/data_2968	Image	microscopy images 3d	Microscopy	data
CellPose	http://edamontology.org/format_2333	Binary format	model cellpose	Microscopy	formats
CellPose	http://edamontology.org/format_2333	Binary format	npy	Microscopy	formats
CellPose	http://edamontology.org/topic_3382	Imaging	optical microscopy	Microscopy	topics
CellPose	http://edamontology.org/format_3603	PNG	png	Microscopy	formats
CellPose	http://edamontology.org/operation_3443	Image analysis	segmentation 2d	Microscopy	operations
CellPose	http://edamontology.org/operation_3443	Image analysis	segmentation 3d	Microscopy	operations
CellPose	http://edamontology.org/data_0006	Data set	structured dataset	Microscopy	data
CellPose	http://edamontology.org/format_3591	TIFF	tiff	Microscopy	formats
ClusterProfiler	http://edamontology.org/operation_3432	Clustering	clustering	Genetic_variant	topics
ClusterProfiler	http://edamontology.org/topic_0092	Data visualisation	data visualization	Genetic_variant	operations
ClusterProfiler	http://edamontology.org/format_3751	DSV	dsv	Genetic_variant	formats
ClusterProfiler	http://edamontology.org/operation_3501	Enrichment analysis	enrichment analysis for omics data	Genetic_variant	topics
ClusterProfiler	http://edamontology.org/data_3753	Enrichment report	enrichment results	Genetic_variant	data
ClusterProfiler	http://edamontology.org/operation_2436	Gene-set enrichment analysis	gene set enrichment analysis	Genetic_variant	operations
ClusterProfiler	http://edamontology.org/operation_3282	ID mapping	id conversion	Genetic_variant	operations
ClusterProfiler	http://edamontology.org/format_3547	Image format	image format	Genetic_variant	formats
ClusterProfiler	http://edamontology.org/data_2353	Ontology data	ontology datasets	Genetic_variant	data
ClusterProfiler	http://edamontology.org/operation_2436	Gene-set enrichment analysis	over-representation analysis	Genetic_variant	operations
ClusterProfiler	http://edamontology.org/operation_3672	Sequence functional annotation	semantic similarity analysis	Genetic_variant	operations
ClusterProfiler	http://edamontology.org/operation_2945	Analysis	visualization of enrichment data	Genetic_variant	topics
ClusterProfiler	http://edamontology.org/operation_0337	Visualisation	visualizations	Genetic_variant	data
Cytoscape	http://edamontology.org/format_3156	BioPAX	biopax	Systems_biology	formats
Cytoscape	http://edamontology.org/operation_3432	Clustering	cluster detection	Systems_biology	operations
Cytoscape	http://edamontology.org/topic_0602	Molecular interactions, pathways and networks	co-occurrence networks	Systems_biology	topics
Cytoscape	http://edamontology.org/operation_3927	Network analysis	construction of networks	Systems_biology	operations
Cytoscape	http://edamontology.org/format_3752	CSV	csv	Systems_biology	formats
Cytoscape	http://edamontology.org/operation_3927	Network analysis	edition of networks	Systems_biology	operations
Cytoscape	http://edamontology.org/format_3822	GML	gml	Systems_biology	formats
Cytoscape	http://edamontology.org/topic_0602	Molecular interactions, pathways and networks	graph theory	Systems_biology	topics
Cytoscape	http://edamontology.org/format_2331	HTML	html	Systems_biology	formats
Cytoscape	http://edamontology.org/data_2968	Image	images	Systems_biology	data
Cytoscape	http://edamontology.org/format_3579	JPEG	jpeg	Systems_biology	formats
Cytoscape	http://edamontology.org/data_2600	Pathway or network	list of nodes and edges	Systems_biology	data
Cytoscape	http://edamontology.org/topic_0602	Molecular interactions, pathways and networks	molecular interaction networks	Systems_biology	topics
Cytoscape	http://edamontology.org/data_2600	Pathway or network	network	Systems_biology	data
Cytoscape	http://edamontology.org/operation_3927	Network analysis	network biology	Systems_biology	topics
Cytoscape	http://edamontology.org/operation_3927	Network analysis	network exploration	Systems_biology	operations
Cytoscape	http://edamontology.org/operation_3927	Network analysis	network exploration	Systems_biology	topics
Cytoscape	http://edamontology.org/operation_3927	Network analysis	network handling	Systems_biology	topics
Cytoscape	http://edamontology.org/operation_3925	Network visualisation	network visualisation	Systems_biology	topics
Cytoscape	http://edamontology.org/operation_3925	Network visualisation	network visualization	Systems_biology	operations
Cytoscape	http://edamontology.org/format_3508	PDF	pdf	Systems_biology	formats
Cytoscape	http://edamontology.org/format_3603	PNG	png	Systems_biology	formats
Cytoscape	http://edamontology.org/topic_0128	Protein interactions	protein-protein interactions	Systems_biology	topics
Cytoscape	http://edamontology.org/format_2585	SBML	sbml	Systems_biology	formats
Cytoscape	http://edamontology.org/format_3619	sif	sif	Systems_biology	formats
Cytoscape	http://edamontology.org/format_3604	SVG	svg	Systems_biology	formats
Cytoscape	http://edamontology.org/topic_2259	Systems biology	systems biology	Systems_biology	topics
Cytoscape	http://edamontology.org/format_3475	TSV	tsv	Systems_biology	formats
Cytoscape	http://edamontology.org/operation_0337	Visualisation	visualization	Systems_biology	topics
Cytoscape	http://edamontology.org/format_3618	xgmml	xgmml	Systems_biology	formats
Cytoscape	http://edamontology.org/format_3468	xls	xls	Systems_biology	formats
EcClem	http://edamontology.org/topic_3382	Imaging	correlative microscopy	Microscopy	topics
EcClem	http://edamontology.org/format_3752	CSV	csv	Microscopy	formats
EcClem	http://edamontology.org/operation_2426	Modelling and simulation	error estimation	Microscopy	operations
EcClem	http://edamontology.org/operation_0295	Structure alignment	fiducial list based registration	Microscopy	operations
EcClem	http://edamontology.org/format_3547	Image format	image format	Microscopy	formats
EcClem	http://edamontology.org/data_2082	Matrix	list of paired points	Microscopy	data
EcClem	http://edamontology.org/format_3547	Image format	microscopy image format	Microscopy	formats
EcClem	http://edamontology.org/data_2968	Image	microscopy images 2d	Microscopy	data
EcClem	http://edamontology.org/data_2968	Image	microscopy images 3d	Microscopy	data
EcClem	http://edamontology.org/data_2968	Image	overlay image	Microscopy	data
EcClem	http://edamontology.org/data_2082	Matrix	transformation matrix	Microscopy	data
EcClem	http://edamontology.org/data_2968	Image	transformed source image	Microscopy	data
EcClem	http://edamontology.org/format_2332	XML	xml	Microscopy	formats
FMRIprep	http://edamontology.org/topic_3384	Medical imaging	bids apps	Neuroimaging	topics
FMRIprep	http://edamontology.org/topic_3384	Medical imaging	brain imaging	Neuroimaging	topics
FMRIprep	http://edamontology.org/data_3442	MRI image	fmri	Neuroimaging	data
FMRIprep	http://edamontology.org/format_2331	HTML	html	Neuroimaging	formats
FMRIprep	http://edamontology.org/topic_3384	Medical imaging	neuroimaging	Neuroimaging	topics
FMRIprep	http://edamontology.org/format_3549	Image format	nifti	Neuroimaging	formats
FMRIprep	http://edamontology.org/data_0006	Data	preprocessed fmri	Neuroimaging	data
FMRIprep	http://edamontology.org/data_2048	Report	reports	Neuroimaging	data
FMRIprep	http://edamontology.org/format_3475	TSV	tsv	Neuroimaging	formats
FMRIprep	http://edamontology.org/operation_0337	Visualisation	visualization	Neuroimaging	operations
FSL	http://edamontology.org/data_3442	MRI image	anatomical mri	Neuroimaging	data
FSL	http://edamontology.org/topic_3384	Medical imaging	brain imaging	Neuroimaging	topics
FSL	http://edamontology.org/data_3442	MRI image	fmri	Neuroimaging	data
FSL	http://edamontology.org/topic_3444	MRI	functional & anatomical MRI preprocesing	Neuroimaging	topics
FSL	http://edamontology.org/operation_3927	Network analysis	functional connectivity analysis	Neuroimaging	operations
FSL	http://edamontology.org/operation_2238	Statistical calculation	group statistical analysis	Neuroimaging	operations
FSL	http://edamontology.org/format_2331	HTML	html	Neuroimaging	formats
FSL	http://edamontology.org/topic_3384	Medical imaging	neuroimaging	Neuroimaging	topics
FSL	http://edamontology.org/format_3549	Image format	nifti	Neuroimaging	formats
FSL	http://edamontology.org/format_3550	Image format	nifti.gz	Neuroimaging	formats
FSL	http://edamontology.org/data_0006	Data	preprocessed data	Neuroimaging	data
FSL	http://edamontology.org/data_2048	Report	reports	Neuroimaging	data
FSL	http://edamontology.org/data_0951	Statistical estimate score	statistical maps	Neuroimaging	data
FSL	http://edamontology.org/operation_2238	Statistical calculation	subject statistical analysis	Neuroimaging	operations
FSL	http://edamontology.org/topic_3384	Medical imaging	tractography	Neuroimaging	operations
FSL	http://edamontology.org/operation_0337	Visualisation	visualization	Neuroimaging	operations
FastME	http://edamontology.org/data_2855	Distance matrix	distance matrix	Phylogeny	data
FastME	http://edamontology.org/operation_0289	Sequence distance matrix construction	distance matrix computation	Phylogeny	operations
FastME	http://edamontology.org/topic_3293	Phylogenetics	distanced-based phylogenetics	Phylogeny	topics
FastME	http://edamontology.org/topic_3299	Evolutionary biology	minimum evolution (me)	Phylogeny	operations
FastME	http://edamontology.org/data_0863	Sequence alignment	multiple sequences alignment msa	Phylogeny	data
FastME	http://edamontology.org/format_1910	newick	newick	Phylogeny	formats
FastME	http://edamontology.org/format_1435	phylip	phylip	Phylogeny	formats
FastME	http://edamontology.org/data_0872	Phylogenetic tree	phylogenetic trees with support values	Phylogeny	data
FastME	http://edamontology.org/topic_3293	Phylogenetics	phylogenetics	Phylogeny	topics
FastME	http://edamontology.org/data_1439	Substitution model	substitution model	Phylogeny	data
FastME	http://edamontology.org/operation_0551	Phylogenetic tree topology analysis	topological optimization	Phylogeny	operations
FastME	http://edamontology.org/operation_0323	Phlyogenetic tree construction	tree inference	Phylogeny	operations
Fluxer	http://edamontology.org/data_2600	Pathway or network	biochemical pathway diagrams	Systems_biology	data
Fluxer	http://edamontology.org/topic_3292	Biochemistry	biochemistry education	Systems_biology	topics
Fluxer	http://edamontology.org/operation_2486	Topology diagram drawing	customizable layout creation	Systems_biology	operations
Fluxer	http://edamontology.org/operation_2486	Topology diagram drawing	flux diagram rendering	Systems_biology	operations
Fluxer	http://edamontology.org/operation_0337	Visualisation	interactive visualization	Systems_biology	operations
Fluxer	http://edamontology.org/data_0950	Mathematical model	metabolic model	Systems_biology	data
Fluxer	http://edamontology.org/operation_3660	Metabolic network simulation	metabolic model simulation	Systems_biology	operations
Fluxer	http://edamontology.org/operation_3925	Network visualisation	metabolic model visualisation	Systems_biology	operations
Fluxer	http://edamontology.org/operation_3660	Metabolic network modelling	metabolic modelling	Systems_biology	topics
Fluxer	http://edamontology.org/data_2600	Pathway or network	networks	Systems_biology	data
Fluxer	http://edamontology.org/operation_3928	Pathway analysis	pathway mapping	Systems_biology	operations
Fluxer	http://edamontology.org/operation_3926	Pathway visualisation	pathway visualization	Systems_biology	topics
Fluxer	http://edamontology.org/format_3508	PDF	pdf	Systems_biology	formats
Fluxer	http://edamontology.org/data_2968	Image	pictures	Systems_biology	data
Fluxer	http://edamontology.org/format_3603	PNG	png	Systems_biology	formats
Fluxer	http://edamontology.org/format_2585	SBML	sbml	Systems_biology	formats
Fluxer	http://edamontology.org/format_3604	SVG	svg	Systems_biology	formats
Fluxer	http://edamontology.org/topic_2259	Systems biology	systems biology	Systems_biology	topics
Fluxer	http://edamontology.org/operation_0337	Visualisation	visualizations	Systems_biology	data
Freesurfer	http://edamontology.org/data_3442	MRI image	anatomical mri	Neuroimaging	data
Freesurfer	http://edamontology.org/format_3547	Image format	annot	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_2333	Binary format	bfloat	Neuroimaging	formats
Freesurfer	http://edamontology.org/topic_3384	Medical imaging	brain imaging	Neuroimaging	topics
Freesurfer	http://edamontology.org/format_3547	Image format	bshort	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3548	Image format	cor	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3549	Image format	curv	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_1637	dat	dat	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3548	DICOM format	dicom	Neuroimaging	formats
Freesurfer	http://edamontology.org/data_3442	MRI image	fmri	Neuroimaging	data
Freesurfer	http://edamontology.org/topic_3444	MRI	fmri surface analysis	Neuroimaging	topics
Freesurfer	http://edamontology.org/format_3547	Image format	gca	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3548	Image format	gcs	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3547	Image format	m3d	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3547	Image format	mgh	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3548	Image format	mgz	Neuroimaging	formats
Freesurfer	http://edamontology.org/operation_3443	Image analysis	morphometry analysis	Neuroimaging	operations
Freesurfer	http://edamontology.org/topic_3384	Medical imaging	neuroimaging	Neuroimaging	topics
Freesurfer	http://edamontology.org/format_3549	Image format	nifti	Neuroimaging	formats
Freesurfer	http://edamontology.org/format_3551	Image format	patch	Neuroimaging	formats
Freesurfer	http://edamontology.org/data_0951	Statistical estimate score	surface maps	Neuroimaging	data
Freesurfer	http://edamontology.org/topic_3384	Medical imaging	tractography	Neuroimaging	operations
Freesurfer	http://edamontology.org/data_0940	Volume map	volumetric segmentation	Neuroimaging	data
Freesurfer	http://edamontology.org/topic_3304	Neurobiology	whole-brain analysis	Neuroimaging	operations
Freesurfer	http://edamontology.org/format_3598	xbm	xfm	Neuroimaging	formats
GSEA	http://edamontology.org/data_1669	P-value	annotation p values	Systems_biology	data
GSEA	http://edamontology.org/format_3752	CSV	csv	Systems_biology	formats
GSEA	http://edamontology.org/operation_3501	Enrichment analysis	enrichment analysis	Systems_biology	topics
GSEA	http://edamontology.org/format_3468	Microsoft Excel format	excel files	Systems_biology	formats
GSEA	http://edamontology.org/operation_3672	Gene functional annotation	functional annotation	Systems_biology	topics
GSEA	http://edamontology.org/operation_3501	Enrichment analysis	functional enrichment analysis	Systems_biology	operations
GSEA	http://edamontology.org/topic_0085	Functional genomics	functional genomics	Systems_biology	topics
GSEA	http://edamontology.org/format_3709	GCT format	gct	Systems_biology	formats
GSEA	http://edamontology.org/data_3112	Gene expression matrix	gene expression matrix	Systems_biology	data
GSEA	http://edamontology.org/operation_2436	Gene-set enrichment analysis	gene set enrichment analysis	Systems_biology	operations
GSEA	http://edamontology.org/operation_3501	Enrichment analysis	gene set scoring	Systems_biology	operations
GSEA	http://edamontology.org/data_2884	Graph data	graph	Systems_biology	data
GSEA	http://edamontology.org/format_2331	HTML	html reports	Systems_biology	formats
GSEA	http://edamontology.org/operation_3928	Pathway analysis	pathway analysis	Systems_biology	topics
GSEA	http://edamontology.org/format_3508	PDF	pdf	Systems_biology	formats
GSEA	http://edamontology.org/data_2968	Image	pictures	Systems_biology	data
GSEA	http://edamontology.org/format_3603	PNG	png	Systems_biology	formats
GSEA	http://edamontology.org/operation_3501	Enrichment analysis	rank-based enrichment	Systems_biology	operations
GSEA	http://edamontology.org/operation_2238	Statistical calculation	statistical permutation	Systems_biology	operations
GSEA	http://edamontology.org/format_3604	SVG	svg	Systems_biology	formats
GSEA	http://edamontology.org/topic_2259	Systems biology	systems biology	Systems_biology	topics
GSEA	http://edamontology.org/format_2330	Textual format	txt	Systems_biology	formats
GSEA	http://edamontology.org/operation_0337	Visualisation	visualization	Systems_biology	operations
GSEA 	http://edamontology.org/format_3579	JPEG	jpeg	Systems_biology	formats
GTDB-Tk	http://edamontology.org/topic_0797	Comparative genomics	comparative genomics	Metagenomic	topics
GTDB-Tk	http://edamontology.org/format_1929	FASTA	fasta	Metagenomic	formats
GTDB-Tk	http://edamontology.org/format_3464	JSON	json	Metagenomic	formats
GTDB-Tk	http://edamontology.org/topic_3837	Metagenomic sequencing	metagenome	Metagenomic	data
GTDB-Tk	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
GTDB-Tk	http://edamontology.org/format_1910	newick	newick	Metagenomic	formats
GTDB-Tk	http://edamontology.org/operation_0323	Phylogenetic inference	phylogenetic inference	Metagenomic	operations
GTDB-Tk	http://edamontology.org/data_0872	Phylogenetic tree	phylogenetic tree	Metagenomic	data
GTDB-Tk	http://edamontology.org/topic_0194	Phylogenomics	phylogenomics	Metagenomic	topics
GTDB-Tk	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic classification	Metagenomic	operations
GTDB-Tk	http://edamontology.org/data_1872	Taxonomic name	taxonomic labels	Metagenomic	data
GTDB-Tk	http://edamontology.org/operation_3460	Taxonomic classification	taxonomy	Metagenomic	topics
GTDB-Tk	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
Kraken2	http://edamontology.org/data_3707	Biodiversity data	abundance table	Metagenomic	data
Kraken2	http://edamontology.org/format_1930	FASTQ	fastq	Metagenomic	formats
Kraken2	http://edamontology.org/format_2331	HTML	html	Metagenomic	formats
Kraken2	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
Kraken2	http://edamontology.org/topic_0080	Sequence analysis	sequence analysis	Metagenomic	topics
Kraken2	http://edamontology.org/operation_2403	Sequence analysis	sequence classification	Metagenomic	operations
Kraken2	http://edamontology.org/topic_3168	Sequencing	sequencing	Metagenomic	topics
Kraken2	http://edamontology.org/data_1872	Taxonomic name	taxonomic annotation	Metagenomic	data
Kraken2	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic annotation	Metagenomic	operations
Kraken2	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic profiling	Metagenomic	topics
Kraken2	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
MAFFT	http://edamontology.org/format_2006	Phylogenetic tree format	.tree	Phylogeny	formats
MAFFT	http://edamontology.org/format_1424	clustal	clustal	Phylogeny	formats
MAFFT	http://edamontology.org/topic_0797	Comparative genomics	comparative genomics	Phylogeny	topics
MAFFT	http://edamontology.org/format_1929	fasta	fasta	Phylogeny	formats
MAFFT	http://edamontology.org/operation_0492	Multiple sequence alignment	global multiple sequence alignment	Phylogeny	operations
MAFFT	http://edamontology.org/topic_3945	Molecular evolution	molecular evolution	Phylogeny	topics
MAFFT	http://edamontology.org/topic_0080	Sequence Analysis	multiple-sequence alignment (msa)	Phylogeny	topics
MAFFT	http://edamontology.org/data_0863	Sequence alignment	multiple-sequence alignment file	Phylogeny	data
MAFFT	http://edamontology.org/data_1383	Nucleic acid sequence alignment	multiple-sequence file	Phylogeny	data
MAFFT	http://edamontology.org/data_1384	Protein sequence alignment	multiple-sequence file	Phylogeny	data
MAFFT	http://edamontology.org/operation_0258	Sequence alignment analysis	progressive alignment	Phylogeny	operations
MAFFT	http://edamontology.org/topic_0080	Sequence analysis	sequence analysis	Phylogeny	topics
MEGAHIT	http://edamontology.org/operation_0524	De Bruijn graph 	bruijn graph	Metagenomic	operations
MEGAHIT	http://edamontology.org/data_0925	Sequence Assembly	contigs	Metagenomic	data
MEGAHIT	http://edamontology.org/operation_0524	De-novo assembly	de novo assembly	Metagenomic	topics
MEGAHIT	http://edamontology.org/format_1929	FASTA	fasta	Metagenomic	formats
MEGAHIT	http://edamontology.org/format_1930	FASTQ	fastq	Metagenomic	formats
MEGAHIT	http://edamontology.org/operation_0525	Genome assembly	genome assemby	Metagenomic	operations
MEGAHIT	http://edamontology.org/operation_0310	Sequence assembly	metagenomic assembly	Metagenomic	operations
MEGAHIT	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
MEGAHIT	http://edamontology.org/topic_0080	Sequence analysis	sequence analysis	Metagenomic	topics
MEGAHIT	http://edamontology.org/topic_0196	Sequence assembly	sequence assembly	Metagenomic	topics
MEGAHIT	http://edamontology.org/topic_3168	Sequencing	sequencing	Metagenomic	topics
MEGAHIT	http://edamontology.org/topic_3168	DNA-Seq	short reads	Metagenomic	topics
MOFA2	http://edamontology.org/operation_3658	Statistical inference	bayesian inference	Systems_biology	operations
MOFA2	http://edamontology.org/operation_3935	Dimensionality reduction	dimensionality reduction	Systems_biology	topics
