EDAM term URI	candidate EDAM term label	tools	annotation	domain	edam_category
http://edamontology.org/operation_0362	Genome annotation	checkM2	genome annotation	Metagenomic	operations
http://edamontology.org/operation_0525	Genome assembly	MEGAHIT	genome assemby	Metagenomic	operations
http://edamontology.org/operation_3218	Sequencing quality control	checkM2	genome quality	Metagenomic	operations
http://edamontology.org/operation_3096	Editing	Anvi’o	interactive edition	Metagenomic	operations
http://edamontology.org/operation_0337	Visualisation	Anvi’o	interactive visualization	Metagenomic	operations
http://edamontology.org/operation_0310	Sequence assembly	MEGAHIT	metagenomic assembly	Metagenomic	operations
http://edamontology.org/operation_0323	Phylogenetic inference	GTDB-Tk	phylogenetic inference	Metagenomic	operations
http://edamontology.org/operation_2403	Sequence analysis	Kraken2	sequence classification	Metagenomic	operations
http://edamontology.org/operation_3460	Taxonomic classification	Kraken2, checkM2, mOTUs	taxonomic annotation	Metagenomic	operations
http://edamontology.org/operation_3460	Taxonomic classification	GTDB-Tk	taxonomic classification	Metagenomic	operations
http://edamontology.org/operation_3460	Taxonomic classification	Anvi’o	taxonomic profiling	Metagenomic	operations
http://edamontology.org/operation_0337	Visualisation	mOTUs	visualization	Metagenomic	operations
http://edamontology.org/topic_0769	Workflows	Anvi’o, mOTUs	workflow	Metagenomic	operations
http://edamontology.org/topic_0797	Comparative genomics	Anvi’o, GTDB-Tk	comparative genomics	Metagenomic	topics
http://edamontology.org/operation_0524	De-novo assembly	MEGAHIT	de novo assembly	Metagenomic	topics
http://edamontology.org/topic_0085	Functional genomics	Anvi’o	functional genomics	Metagenomic	topics
http://edamontology.org/topic_3174	Metagenomics	Anvi’o, CONCOCT, GTDB-Tk, Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs	metagenomics	Metagenomic	topics
http://edamontology.org/topic_0194	Phylogenomics	GTDB-Tk	phylogenomics	Metagenomic	topics
http://edamontology.org/topic_0084	Phylogeny	mOTUs	phylogeny	Metagenomic	topics
http://edamontology.org/topic_0080	Sequence analysis	Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs	sequence analysis	Metagenomic	topics
http://edamontology.org/topic_0196	Sequence assembly	MEGAHIT	sequence assembly	Metagenomic	topics
http://edamontology.org/topic_3168	Sequencing	Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs	sequencing	Metagenomic	topics
http://edamontology.org/topic_3168	DNA-Seq	MEGAHIT	short reads	Metagenomic	topics
http://edamontology.org/operation_3460	Taxonomic classification	checkM2	taxonomic annotation	Metagenomic	topics
http://edamontology.org/operation_3460	Taxonomic classification	Kraken2, mOTUs	taxonomic profiling	Metagenomic	topics
http://edamontology.org/operation_3460	Taxonomic classification	GTDB-Tk	taxonomy	Metagenomic	topics
http://edamontology.org/data_3442	MRI image	AFNI, FSL, Freesurfer, SPM	anatomical mri	Neuroimaging	data
http://edamontology.org/data_3442	MRI image	AFNI, FMRIprep, FSL, Freesurfer, SPM	fmri	Neuroimaging	data
http://edamontology.org/data_0006	Data	FSL, SPM	preprocessed data	Neuroimaging	data
http://edamontology.org/data_0006	Data	FMRIprep	preprocessed fmri	Neuroimaging	data
http://edamontology.org/data_2048	Report	FMRIprep, FSL	reports	Neuroimaging	data
http://edamontology.org/data_2048	Report	SPM	results reports	Neuroimaging	data
http://edamontology.org/data_0951	Statistical estimate score	FSL	statistical maps	Neuroimaging	data
http://edamontology.org/data_0951	Statistical estimate score	SPM	statistical parametric maps	Neuroimaging	data
http://edamontology.org/data_0951	Statistical estimate score	Freesurfer	surface maps	Neuroimaging	data
http://edamontology.org/data_0940	Volume map	Freesurfer	volumetric segmentation	Neuroimaging	data
http://edamontology.org/format_3547	Image format	Freesurfer	annot	Neuroimaging	formats
http://edamontology.org/format_2333	Binary format	Freesurfer	bfloat	Neuroimaging	formats
http://edamontology.org/format_3547	Image format	Freesurfer	bshort	Neuroimaging	formats
http://edamontology.org/format_3548	Image format	Freesurfer	cor	Neuroimaging	formats
http://edamontology.org/format_3549	Image format	Freesurfer	curv	Neuroimaging	formats
http://edamontology.org/format_1637	dat	Freesurfer	dat	Neuroimaging	formats
http://edamontology.org/format_3548	DICOM format	Freesurfer, SPM	dicom	Neuroimaging	formats
http://edamontology.org/format_3547	Image format	Freesurfer	gca	Neuroimaging	formats
http://edamontology.org/format_3548	Image format	Freesurfer	gcs	Neuroimaging	formats
http://edamontology.org/format_2331	HTML	FMRIprep, FSL	html	Neuroimaging	formats
http://edamontology.org/format_3579	jpeg	SPM	jpeg	Neuroimaging	formats
http://edamontology.org/format_3547	Image format	Freesurfer	m3d	Neuroimaging	formats
http://edamontology.org/format_3626	MAT	SPM	mat	Neuroimaging	formats
http://edamontology.org/format_3547	Image format	Freesurfer	mgh	Neuroimaging	formats
http://edamontology.org/format_3548	Image format	Freesurfer	mgz	Neuroimaging	formats
http://edamontology.org/format_3549	Image format	AFNI, FMRIprep, FSL, Freesurfer, SPM	nifti	Neuroimaging	formats
http://edamontology.org/format_3550	Image format	FSL	nifti.gz	Neuroimaging	formats
http://edamontology.org/format_3551	Image format	Freesurfer	patch	Neuroimaging	formats
http://edamontology.org/format_3508	PDF	SPM	pdf	Neuroimaging	formats
http://edamontology.org/format_3696	PS	SPM	ps	Neuroimaging	formats
http://edamontology.org/format_3475	TSV	FMRIprep	tsv	Neuroimaging	formats
http://edamontology.org/format_3598	xbm	Freesurfer	xfm	Neuroimaging	formats
http://edamontology.org/operation_3927	Network analysis	FSL	functional connectivity analysis	Neuroimaging	operations
http://edamontology.org/operation_2238	Statistical calculation	AFNI, FSL, SPM	group statistical analysis	Neuroimaging	operations
http://edamontology.org/operation_3443	Image analysis	Freesurfer	morphometry analysis	Neuroimaging	operations
http://edamontology.org/operation_2238	Statistical calculation	AFNI, FSL, SPM	subject statistical analysis	Neuroimaging	operations
http://edamontology.org/topic_3384	Medical imaging	FSL, Freesurfer	tractography	Neuroimaging	operations
http://edamontology.org/operation_0337	Visualisation	AFNI, FMRIprep, FSL, SPM	visualization	Neuroimaging	operations
http://edamontology.org/topic_3304	Neurobiology	Freesurfer	whole-brain analysis	Neuroimaging	operations
http://edamontology.org/topic_3444	MRI	AFNI, FSL, SPM	functional & anatomical MRI preprocesing	Neuroimaging	topics
http://edamontology.org/topic_3384	Medical imaging	FMRIprep	bids apps	Neuroimaging	topics
http://edamontology.org/topic_3384	Medical imaging	AFNI, FMRIprep, FSL, Freesurfer, SPM	brain imaging	Neuroimaging	topics
http://edamontology.org/topic_3384	Medical Imaging	SPM	eeg analysis	Neuroimaging	topics
http://edamontology.org/topic_3444	MRI	Freesurfer	fmri surface analysis	Neuroimaging	topics
http://edamontology.org/topic_3384	Medical imaging	AFNI, FMRIprep, FSL, Freesurfer, SPM	neuroimaging	Neuroimaging	topics
http://edamontology.org/data_2855	Distance matrix	FastME	distance matrix	Phylogeny	data
http://edamontology.org/data_0863	Sequence alignment	PhyML	multiple sequence alignment	Phylogeny	data
http://edamontology.org/data_0863	Sequence alignment	FastME	multiple sequences alignment msa	Phylogeny	data
http://edamontology.org/data_0863	Sequence alignment	MAFFT	multiple-sequence alignment file	Phylogeny	data
http://edamontology.org/data_1383	Nucleic acid sequence alignment	MAFFT	multiple-sequence file	Phylogeny	data
http://edamontology.org/data_1384	Protein sequence alignment	MAFFT	multiple-sequence file	Phylogeny	data
http://edamontology.org/data_0872	Phylogenetic tree	FastME	phylogenetic trees with support values	Phylogeny	data
http://edamontology.org/data_0872	Phylogenetic tree	PhyML	phylogeny trees with support values	Phylogeny	data
http://edamontology.org/data_1439	DNA substitution model	PhyML	sequence evolution model	Phylogeny	data
http://edamontology.org/data_1439	Substitution model	FastME	substitution model	Phylogeny	data
http://edamontology.org/format_2006	Phylogenetic tree format	MAFFT	.tree	Phylogeny	formats
http://edamontology.org/format_1424	clustal	MAFFT	clustal	Phylogeny	formats
http://edamontology.org/format_1929	fasta	MAFFT	fasta	Phylogeny	formats
http://edamontology.org/format_1910	newick	FastME, PhyML	newick	Phylogeny	formats
http://edamontology.org/format_1435	phylip	FastME, PhyML	phylip	Phylogeny	formats
http://edamontology.org/operation_0289	Sequence distance matrix construction	FastME	distance matrix computation	Phylogeny	operations
http://edamontology.org/operation_0492	Multiple sequence alignment	MAFFT	global multiple sequence alignment	Phylogeny	operations
http://edamontology.org/operation_0547	Phylogenetic inference (maximum likelihood and Bayesian methods)	PhyML	maximum-likelihood tree inference	Phylogeny	operations
http://edamontology.org/topic_3299	Evolutionary biology	FastME	minimum evolution (me)	Phylogeny	operations
http://edamontology.org/operation_0258	Sequence alignment analysis	MAFFT	progressive alignment	Phylogeny	operations
http://edamontology.org/operation_0551	Phylogenetic tree topology analysis	FastME	topological optimization	Phylogeny	operations
http://edamontology.org/operation_0323	Phlyogenetic tree construction	FastME, PhyML	tree inference	Phylogeny	operations
http://edamontology.org/topic_0797	Comparative genomics	MAFFT	comparative genomics	Phylogeny	topics
http://edamontology.org/topic_3293	Phylogenetics	FastME	distanced-based phylogenetics	Phylogeny	topics
http://edamontology.org/topic_0084	Phylogenetics	PhyML	likelihood-based phylogenetics	Phylogeny	topics
http://edamontology.org/topic_3945	Molecular evolution	MAFFT, PhyML	molecular evolution	Phylogeny	topics
http://edamontology.org/topic_0080	Sequence Analysis	MAFFT	multiple-sequence alignment (msa)	Phylogeny	topics
http://edamontology.org/topic_3293	Phylogenetics	FastME, PhyML	phylogenetics	Phylogeny	topics
http://edamontology.org/topic_0080	Sequence analysis	MAFFT	sequence analysis	Phylogeny	topics
http://edamontology.org/data_2099	Name	Monocle3	branch labels	Single_Cell	data
http://edamontology.org/data_2082	Matrix	Seurat	cell embeddings	Single_Cell	data
http://edamontology.org/data_0842	Identifier	Scanpy, Seurat	cluster labels	Single_Cell	data
http://edamontology.org/data_2082	Matrix	Monocle3, Scanpy	differential expression results	Single_Cell	data
http://edamontology.org/data_3112	Gene expression matrix	Monocle3	expression matrices	Single_Cell	data
http://edamontology.org/data_3112	Gene expression matrix	Seurat	expression matrix	Single_Cell	data
http://edamontology.org/data_2914	Sequence features metadata	Scanpy, Seurat	feature metadata	Single_Cell	data
http://edamontology.org/data_2968	Image	Scanpy, Seurat	images	Single_Cell	data
http://edamontology.org/data_2884	Plot	Monocle3, Scanpy, Seurat	plots	Single_Cell	data
http://edamontology.org/data_3112	Gene expression matrix	Scanpy	processed expression matrix	Single_Cell	data
http://edamontology.org/data_2082	Matrix	Monocle3, Scanpy	pseudotime values	Single_Cell	data
http://edamontology.org/data_3917	Count matrix	Scanpy, Seurat	raw count matrix	Single_Cell	data
http://edamontology.org/data_3768	Clustered expression profiles	Scanpy, Seurat	table results	Single_Cell	data
http://edamontology.org/data_3870	Trajectory data	Monocle3, Scanpy	trajectory graph	Single_Cell	data
http://edamontology.org/data_3870	Trajectory data	Monocle3, Scanpy	trajectory tree	Single_Cell	data
http://edamontology.org/format_3916	MTX	Monocle3, Scanpy, Seurat	bundle format (mtx)	Single_Cell	formats
http://edamontology.org/format_3752	CSV	Monocle3, Scanpy, Seurat	csv	Single_Cell	formats
http://edamontology.org/format_3590	HDF5	Scanpy	h5ad	Single_Cell	formats
http://edamontology.org/format_3590	HDF5	Scanpy, Seurat	hdf5	Single_Cell	formats
http://edamontology.org/format_3579	JPEG	Monocle3, Scanpy, Seurat	jpeg	Single_Cell	formats
http://edamontology.org/format_3508	PDF	Monocle3, Scanpy, Seurat	pdf	Single_Cell	formats
http://edamontology.org/format_3603	PNG	Monocle3, Scanpy, Seurat	png	Single_Cell	formats
http://edamontology.org/format_2333	Binary format	Monocle3, Seurat	rds	Single_Cell	formats
http://edamontology.org/format_3603	SVG	Monocle3, Scanpy, Seurat	svg	Single_Cell	formats
http://edamontology.org/format_3591	TIFF	Scanpy, Seurat	tiff	Single_Cell	formats
http://edamontology.org/format_3475	TSV	Monocle3, Scanpy, Seurat	tsv	Single_Cell	formats
http://edamontology.org/operation_0315	Expression profile comparison	Monocle3	cell trajectories inference	Single_Cell	operations
http://edamontology.org/operation_0315	Expression profile comparison	Scanpy	cell trajectory inference	Single_Cell	operations
http://edamontology.org/operation_3432	Clustering	Monocle3, Scanpy, Seurat	clustering	Single_Cell	operations
http://edamontology.org/operation_3223	Differential expression analysis	Monocle3	differential expression over cell trajectory	Single_Cell	operations
http://edamontology.org/operation_3223	Differential expression analysis	Scanpy, Seurat	differential expression testing	Single_Cell	operations
http://edamontology.org/operation_3935	Dimensionality reduction	Scanpy, Seurat	dimensionality reduction	Single_Cell	operations
http://edamontology.org/operation_3435	Normalization	Monocle3, Scanpy, Seurat	normalization	Single_Cell	operations
http://edamontology.org/operation_3935	Dimensionality reduction	Monocle3	reduction dimensions	Single_Cell	operations
http://edamontology.org/operation_0337	Visualisation	Monocle3	visualisations	Single_Cell	operations
http://edamontology.org/operation_0337	Visualisation	Scanpy, Seurat	visualization	Single_Cell	operations
http://edamontology.org/topic_4028	Single-cell sequencing	Monocle3	cell trajectories inference	Single_Cell	topics
http://edamontology.org/topic_4028	Single-cell sequencing	Monocle3, Scanpy, Seurat	single-cell genomic	Single_Cell	topics
http://edamontology.org/data_0928	DATA Gene expression profile	Seurat	spatial transcriptomics	Single_Cell	topics
http://edamontology.org/topic_4028	Single-cell sequencing	Scanpy	trajectory inference	Single_Cell	topics
http://edamontology.org/operation_0362	Genome annotation	CarveMe	genome annotations	Systems_biology	data
http://edamontology.org/data_0950	Mathematical model	CarveMe	genome-scale metabolic models	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	CarveMe	metabolic networks	Systems_biology	data
http://edamontology.org/data_2044	Sequence	CarveMe, eggNOG-mapper	gene sequences	Systems_biology	data
http://edamontology.org/data_2976	Protein sequence	CarveMe, String.db, eggNOG-mapper	protein sequences	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	COBRApy	metabolic network	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	COBRApy	metabolic network/model or nothing if created from scratch	Systems_biology	data
http://edamontology.org/data_2978	Reaction data	COBRApy	metabolites	Systems_biology	data
http://edamontology.org/operation_2425	Optimisation and refinement	COBRApy	optimization results	Systems_biology	data
http://edamontology.org/data_3869	Simulation	COBRApy	results of simulations	Systems_biology	data
http://edamontology.org/data_0950	Mathematical model	COBRApy, CarveMe, Fluxer	metabolic model	Systems_biology	data
http://edamontology.org/data_2968	Image	Cytoscape	images	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	Cytoscape	list of nodes and edges	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	Cytoscape, RWR	network	Systems_biology	data
http://edamontology.org/data_2977	Nucleic acid sequence	eggNOG-mapper	nucleotide sequences	Systems_biology	data
http://edamontology.org/data_1872	Taxonomic classification	eggNOG-mapper	taxonomic assignments	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	Fluxer	biochemical pathway diagrams	Systems_biology	data
http://edamontology.org/operation_0337	Visualisation	Fluxer	visualizations	Systems_biology	data
http://edamontology.org/data_2968	Image	Fluxer, GSEA	pictures	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	Fluxer, String.db	networks	Systems_biology	data
http://edamontology.org/data_1669	P-value	GSEA	annotation p values	Systems_biology	data
http://edamontology.org/data_3112	Gene expression matrix	GSEA	gene expression matrix	Systems_biology	data
http://edamontology.org/data_2884	Graph data	GSEA	graph	Systems_biology	data
http://edamontology.org/data_2082	Matrix	MOFA2	omics matrices	Systems_biology	data
http://edamontology.org/data_2600	Network	RWR	biological networks	Systems_biology	data
http://edamontology.org/data_1772	Score	RWR	convergence scores	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	SNF	fused networks	Systems_biology	data
http://edamontology.org/data_2855	Distance matrix	SNF	fused similarity matrix	Systems_biology	data
http://edamontology.org/topic_3391	Omics	SNF	multi-omics profiles	Systems_biology	data
http://edamontology.org/topic_3391	Omics	SNF	omics	Systems_biology	data
http://edamontology.org/data_2082	Matrix	SNF	similarity matrices	Systems_biology	data
http://edamontology.org/data_1772	Score	String.db	confidence scores	Systems_biology	data
http://edamontology.org/data_2299	Gene name	String.db	gene name	Systems_biology	data
http://edamontology.org/data_2600	Pathway or network	String.db	interaction networks	Systems_biology	data
http://edamontology.org/data_1009	Protein name	String.db	protein name	Systems_biology	data
http://edamontology.org/data_2044	Sequence	String.db	sequences	Systems_biology	data
http://edamontology.org/format_1929	FASTA	CarveMe, String.db, eggNOG-mapper	fasta	Systems_biology	formats
http://edamontology.org/format_4007	MATLAB	COBRApy, CarveMe	matlab	Systems_biology	formats
http://edamontology.org/format_2585	SBML	COBRApy, CarveMe, Cytoscape, Fluxer	sbml	Systems_biology	formats
http://edamontology.org/format_3750	YAML	COBRApy, MULTIXRANK	yaml	Systems_biology	formats
http://edamontology.org/format_3464	JSON	COBRApy, MULTIXRANK, String.db, eggNOG-mapper	json	Systems_biology	formats
http://edamontology.org/format_3156	BioPAX	Cytoscape	biopax	Systems_biology	formats
http://edamontology.org/format_2331	HTML	Cytoscape	html	Systems_biology	formats
http://edamontology.org/format_3618	xgmml	Cytoscape	xgmml	Systems_biology	formats
http://edamontology.org/format_3468	xls	Cytoscape	xls	Systems_biology	formats
http://edamontology.org/format_3508	PDF	Cytoscape, Fluxer, GSEA	pdf	Systems_biology	formats
http://edamontology.org/format_3604	SVG	Cytoscape, Fluxer, GSEA, String.db	svg	Systems_biology	formats
http://edamontology.org/format_3603	PNG	Cytoscape, Fluxer, String.db, GSEA	png	Systems_biology	formats
http://edamontology.org/format_3579	JPEG	Cytoscape, GSEA 	jpeg	Systems_biology	formats
http://edamontology.org/format_3619	sif	Cytoscape, MULTIXRANK, RWR	sif	Systems_biology	formats
http://edamontology.org/format_3475	TSV	Cytoscape, MULTIXRANK, SNF, String.db, RWR	tsv	Systems_biology	formats
http://edamontology.org/format_3752	CSV	Cytoscape, MULTIXRANK, SNF, String.db, GSEA, RWR	csv	Systems_biology	formats
http://edamontology.org/format_3822	GML	Cytoscape, RWR	gml	Systems_biology	formats
http://edamontology.org/format_3989	GZIP format	eggNOG-mapper	gzip	Systems_biology	formats
http://edamontology.org/format_3468	Microsoft Excel format	GSEA	excel files	Systems_biology	formats
http://edamontology.org/format_3709	GCT format	GSEA	gct	Systems_biology	formats
http://edamontology.org/format_2331	HTML	GSEA	html reports	Systems_biology	formats
http://edamontology.org/format_3590	HDF5	MOFA2	hdf5	Systems_biology	formats
http://edamontology.org/format_3033	Matrix format	MOFA2	matrices	Systems_biology	formats
http://edamontology.org/format_2330	Textual format	MULTIXRANK, String.db, GSEA	txt	Systems_biology	formats
http://edamontology.org/format_3033	Matrix format	RWR	adjacency matrix	Systems_biology	formats
http://edamontology.org/format_3033	Matrix format	SNF	matrix	Systems_biology	formats
http://edamontology.org/format_2332	XML	String.db	xml	Systems_biology	formats
http://edamontology.org/operation_3660	Metabolic network modelling	CarveMe	automated model reconstruction	Systems_biology	operations
http://edamontology.org/operation_2426	Modelling and simulation	CarveMe	draft model generation	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network modelling	CarveMe	gap-filling	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network modelling	CarveMe	gap-filling of metabolic models	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network modelling	CarveMe	reconstruction of metabolic networks	Systems_biology	operations
http://edamontology.org/operation_2426	Modelling and simulation	COBRApy	constraint-based simulations such as fba	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network modelling	COBRApy	construction or modification of metabolic models	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network simulation	COBRApy	metabolic network simulation	Systems_biology	operations
http://edamontology.org/operation_2425	Optimisation and refinement	COBRApy	optimization	Systems_biology	operations
http://edamontology.org/operation_3432	Clustering	Cytoscape	cluster detection	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	Cytoscape	construction of networks	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	Cytoscape	edition of networks	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	Cytoscape	network exploration	Systems_biology	operations
http://edamontology.org/operation_3925	Network visualisation	Cytoscape	network visualization	Systems_biology	operations
http://edamontology.org/operation_0226	Annotation	eggNOG-mapper	annotation of genes and proteins using multiple functional databases	Systems_biology	operations
http://edamontology.org/operation_0226	Annotation	eggNOG-mapper	hierarchical annotation	Systems_biology	operations
http://edamontology.org/operation_2403	Sequence analysis	eggNOG-mapper	large-scale sequence analysis	Systems_biology	operations
http://edamontology.org/operation_2486	Topology diagram drawing	Fluxer	customizable layout creation	Systems_biology	operations
http://edamontology.org/operation_2486	Topology diagram drawing	Fluxer	flux diagram rendering	Systems_biology	operations
http://edamontology.org/operation_0337	Visualisation	Fluxer	interactive visualization	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network simulation	Fluxer	metabolic model simulation	Systems_biology	operations
http://edamontology.org/operation_3925	Network visualisation	Fluxer	metabolic model visualisation	Systems_biology	operations
http://edamontology.org/operation_3928	Pathway analysis	Fluxer	pathway mapping	Systems_biology	operations
http://edamontology.org/operation_3501	Enrichment analysis	GSEA	functional enrichment analysis	Systems_biology	operations
http://edamontology.org/operation_2436	Gene-set enrichment analysis	GSEA	gene set enrichment analysis	Systems_biology	operations
http://edamontology.org/operation_3501	Enrichment analysis	GSEA	gene set scoring	Systems_biology	operations
http://edamontology.org/operation_3501	Enrichment analysis	GSEA	rank-based enrichment	Systems_biology	operations
http://edamontology.org/operation_2238	Statistical calculation	GSEA	statistical permutation	Systems_biology	operations
http://edamontology.org/operation_0337	Visualisation	GSEA, String.db	visualization	Systems_biology	operations
http://edamontology.org/operation_3658	Statistical inference	MOFA2	bayesian inference	Systems_biology	operations
http://edamontology.org/operation_3935	Dimensionality reduction	MOFA2	joint matrix factorisation	Systems_biology	operations
http://edamontology.org/operation_3935	Dimensionality reduction	MOFA2	matrix factorization	Systems_biology	operations
http://edamontology.org/operation_3935	Dimensionality reduction	MOFA2	reduction dimension	Systems_biology	operations
http://edamontology.org/operation_2238	Statistical calculation	MOFA2	variance decomposition	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	MULTIXRANK, RWR	random walk with restart	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	SNF	consensus network building	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	SNF	networks fusion	Systems_biology	operations
http://edamontology.org/operation_3432	Clustering	SNF, String.db	clustering	Systems_biology	operations
http://edamontology.org/operation_2422	Data retrieval	String.db	data retrieval	Systems_biology	operations
http://edamontology.org/operation_3501	Enrichment analysis	String.db	enrichment analysis	Systems_biology	operations
http://edamontology.org/operation_3927	Biological network analysis	String.db	exploration of interaction networks	Systems_biology	operations
http://edamontology.org/operation_3927	Network analysis	String.db	network construction	Systems_biology	operations
http://edamontology.org/operation_3660	Metabolic network modelling	CarveMe	community modeling	Systems_biology	topics
http://edamontology.org/operation_3660	Metabolic network modelling	CarveMe	genome-scale metabolic modeling	Systems_biology	topics
http://edamontology.org/topic_3301	Microbiology	CarveMe	microbiology	Systems_biology	topics
http://edamontology.org/operation_2426	Modelling and simulation	COBRApy	constraint-based modeling	Systems_biology	topics
http://edamontology.org/topic_0602	Biological networks	COBRApy, CarveMe	metabolic networks	Systems_biology	topics
http://edamontology.org/operation_3660	Metabolic network reconstruction	COBRApy, CarveMe	metabolic reconstruction	Systems_biology	topics
http://edamontology.org/topic_2259	Systems biology	COBRApy, CarveMe, Cytoscape, Fluxer, GSEA, String.db	systems biology	Systems_biology	topics
http://edamontology.org/operation_3660	Metabolic network modelling	COBRApy, Fluxer	metabolic modelling	Systems_biology	topics
http://edamontology.org/topic_0602	Molecular interactions, pathways and networks	Cytoscape	co-occurrence networks	Systems_biology	topics
http://edamontology.org/topic_0602	Molecular interactions, pathways and networks	Cytoscape	graph theory	Systems_biology	topics
http://edamontology.org/topic_0602	Molecular interactions, pathways and networks	Cytoscape	molecular interaction networks	Systems_biology	topics
http://edamontology.org/operation_3927	Network analysis	Cytoscape	network handling	Systems_biology	topics
http://edamontology.org/operation_3925	Network visualisation	Cytoscape	network visualisation	Systems_biology	topics
http://edamontology.org/topic_0128	Protein interactions	Cytoscape	protein-protein interactions	Systems_biology	topics
http://edamontology.org/operation_0337	Visualisation	Cytoscape	visualization	Systems_biology	topics
http://edamontology.org/operation_3927	Network analysis	Cytoscape, MULTIXRANK	network biology	Systems_biology	topics
http://edamontology.org/operation_3927	Network analysis	Cytoscape, MULTIXRANK, RWR	network exploration	Systems_biology	topics
http://edamontology.org/operation_0361	Sequence annotation	eggNOG-mapper	functional annotation of proteins	Systems_biology	topics
http://edamontology.org/topic_3174	Metagenomics	eggNOG-mapper	metagenomic annotation	Systems_biology	topics
http://edamontology.org/topic_0623	Gene and protein families	eggNOG-mapper	orthology assignment	Systems_biology	topics
http://edamontology.org/operation_1777	Protein function prediction	eggNOG-mapper	protein function prediction	Systems_biology	topics
