tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
FSL	topic	5	0	0	0	1.0	1.0	1.0	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']	[]	[]	5	5	0	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']	[]
FSL	operation	5	0	1	0	1.0	0.83	0.91	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'tractography', 'visualization']	[]	['functional connectivity analysis']	4	4	0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]
FSL	input data	3	0	0	0	1.0	1.0	1.0	['anatomical mri', 'diffusion mri', 'fmri']	[]	[]	3	3	0	['anatomical mri', 'diffusion mri', 'fmri']	[]
FSL	output data	3	0	0	0	1.0	1.0	1.0	['preprocessed data', 'reports', 'statistical maps']	[]	[]	3	3	0	['preprocessed data', 'reports', 'statistical maps']	[]
FSL	input format	2	0	0	0	1.0	1.0	1.0	['nifti', 'nifti.gz']	[]	[]	2	2	0	['nifti', 'nifti.gz']	[]
FSL	output format	3	0	0	0	1.0	1.0	1.0	['html', 'nifti', 'nifti.gz']	[]	[]	3	3	0	['html', 'nifti', 'nifti.gz']	[]
AFNI	topic	4	0	0	0	1.0	1.0	1.0	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]	[]	4	4	0	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]
AFNI	operation	5	0	0	0	1.0	1.0	1.0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization', 'voxel-wise regression analysis']	[]	[]	4	4	0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]
AFNI	input data	2	0	0	0	1.0	1.0	1.0	['anatomical mri', 'fmri']	[]	[]	2	2	0	['anatomical mri', 'fmri']	[]
AFNI	output data	1	0	0	0	1.0	1.0	1.0	['parametric modulation maps']	[]	[]	1	1	0	['parametric modulation maps']	[]
AFNI	input format	2	0	0	0	1.0	1.0	1.0	['brik/head', 'nifti']	[]	[]	2	2	0	['brik/head', 'nifti']	[]
AFNI	output format	2	0	0	0	1.0	1.0	1.0	['brik/head', 'nifti']	[]	[]	2	2	0	['brik/head', 'nifti']	[]
FMRIprep	topic	3	0	1	0	1.0	0.75	0.86	['brain imaging', 'fmri preprocessing', 'neuroimaging']	[]	['bids apps']	3	3	0	['brain imaging', 'fmri preprocessing', 'neuroimaging']	[]
FMRIprep	operation	2	0	0	0	1.0	1.0	1.0	['preprocessing', 'visualization']	[]	[]	2	2	0	['preprocessing', 'visualization']	[]
FMRIprep	input data	1	0	0	0	1.0	1.0	1.0	['fmri']	[]	[]	1	1	0	['fmri']	[]
FMRIprep	output data	1	0	1	0	1.0	0.5	0.67	['preprocessed fmri']	[]	['reports']	1	1	0	['preprocessed fmri']	[]
FMRIprep	input format	2	0	0	0	1.0	1.0	1.0	['bids', 'nifti']	[]	[]	2	2	0	['bids', 'nifti']	[]
FMRIprep	output format	3	0	0	0	1.0	1.0	1.0	['html', 'nifti', 'tsv']	[]	[]	1	1	0	['nifti']	[]
