tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
FSL	topic	5	0	0	0	1.0	1.0	1.0	5	5	0	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']	[]	[]	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']	[]
FSL	operation	5	0	1	0	1.0	0.83	0.91	4	4	0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'tractography', 'visualization']	[]	['functional connectivity analysis']	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]
FSL	input data	3	0	0	0	1.0	1.0	1.0	3	3	0	['anatomical mri', 'diffusion mri', 'fmri']	[]	[]	['anatomical mri', 'diffusion mri', 'fmri']	[]
FSL	output data	3	0	0	0	1.0	1.0	1.0	3	3	0	['preprocessed data', 'reports', 'statistical maps']	[]	[]	['preprocessed data', 'reports', 'statistical maps']	[]
FSL	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['nifti', 'nifti.gz']	[]	[]	['nifti', 'nifti.gz']	[]
FSL	output format	3	0	0	0	1.0	1.0	1.0	3	3	0	['html', 'nifti', 'nifti.gz']	[]	[]	['html', 'nifti', 'nifti.gz']	[]
AFNI	topic	4	0	0	0	1.0	1.0	1.0	4	4	0	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]	[]	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]
AFNI	operation	5	0	0	0	1.0	1.0	1.0	4	4	0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization', 'voxel-wise regression analysis']	[]	[]	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]
AFNI	input data	2	0	0	0	1.0	1.0	1.0	2	2	0	['anatomical mri', 'fmri']	[]	[]	['anatomical mri', 'fmri']	[]
AFNI	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['parametric modulation maps']	[]	[]	['parametric modulation maps']	[]
AFNI	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['brik/head', 'nifti']	[]	[]	['brik/head', 'nifti']	[]
AFNI	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['brik/head', 'nifti']	[]	[]	['brik/head', 'nifti']	[]
